ticker,education_bachelor_or_higher,education_master_or_higher,education_doctoral,has_mba_emba,has_foreign_education,has_professional_retraining,has_law_education,has_economics_education,publications_count,has_research_experience,research_experience_years,patents_count,experience_years_same_sector,experience_years_same_industry,experience_years_same_industry_group,professional_experience_years,has_experience_same_sector,has_experience_same_industry,has_experience_same_industry_group,has_other_company_management,current_company_experience_years
NVTK,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.16,1.0,1.0,1.0,1.0,0.16
OGKB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.13333333333333333,0.2,0.14,1.0,1.0,1.0,1.0,0.16
OKEY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.1,1.0,1.0,1.0,1.0,0.16
OZPH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.4,0.4,0.24,1.0,1.0,1.0,1.0,0.04
PHOR,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.35,0.35,0.35,0.34,1.0,1.0,1.0,1.0,0.42
PIKK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,1.0,0.0
PLZL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.12,1.0,1.0,1.0,1.0,0.24
POLY,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.3,1.0,1.0,1.0,1.0,0.44
POSI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.16,1.0,1.0,1.0,0.0,0.32
PRMD,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.25,1.0,1.0,1.0,1.0,0.04
QIWI,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.19,1.0,1.0,1.0,1.0,0.1
RASP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.15,1.0,1.0,1.0,1.0,0.0
RENI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.25,1.0,1.0,1.0,1.0,0.38
RKKE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5666666666666667,0.55,0.5666666666666667,0.43,1.0,1.0,1.0,1.0,0.12
RNFT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18333333333333332,0.18333333333333332,0.18333333333333332,0.35,1.0,1.0,1.0,1.0,0.22
ROSN,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.26,1.0,1.0,1.0,1.0,0.26
RTKM,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.275,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.25,1.0,1.0,1.0,1.0,0.16
RUAL,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,1.0,0.0
SBER,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.36,1.0,1.0,1.0,0.0,0.36
SELG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.38,1.0,1.0,1.0,1.0,0.38
SFIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.23,1.0,1.0,1.0,0.0,0.12
SGZH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.01,1.0,1.0,1.0,0.0,0.02
SMLT,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.14,1.0,1.0,1.0,1.0,0.06
SNGS,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.55,1.0,1.0,1.0,1.0,0.32
SOFL,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
SPBE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.05,1.0,1.0,1.0,0.0,0.1
SVAV,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.46,1.0,1.0,1.0,1.0,0.52
SVCB,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.27,1.0,1.0,1.0,1.0,0.3
T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.016666666666666666,0.016666666666666666,0.21,1.0,1.0,1.0,1.0,0.02
TATN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.51,1.0,1.0,1.0,1.0,0.64
TGKA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.25,1.0,1.0,1.0,0.0,0.5
TGKB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.14,1.0,1.0,1.0,1.0,0.24
TRMK,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,0.75,0.1,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.11,1.0,1.0,1.0,1.0,0.04
TRNFP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.26,1.0,1.0,1.0,1.0,0.36
TTLK,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.01,1.0,0.0,0.0,0.1,0.1,0.1,0.06,1.0,1.0,1.0,0.0,0.12
UGLD,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,1.0,0.4,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.44,1.0,1.0,1.0,1.0,0.0
UPRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.02,1.0,1.0,1.0,0.0,0.04
VKCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.14,1.0,1.0,1.0,1.0,0.0
VSEH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.1,1.0,1.0,1.0,1.0,0.16
VSMO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.15,1.0,1.0,1.0,1.0,0.06
VTBR,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.01,1.0,1.0,1.0,0.0,0.02
WUSH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.06666666666666667,0.1,0.06,1.0,1.0,1.0,1.0,0.02
YDEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.22,1.0,1.0,1.0,0.0,0.44
ZAYM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.15,0.09,1.0,1.0,1.0,0.0,0.18
