ticker,education_bachelor_or_higher,education_master_or_higher,education_doctoral,has_mba_emba,has_foreign_education,has_professional_retraining,has_law_education,has_economics_education,publications_count,has_research_experience,research_experience_years,patents_count,experience_years_same_sector,experience_years_same_industry,experience_years_same_industry_group,professional_experience_years,has_experience_same_sector,has_experience_same_industry,has_experience_same_industry_group,has_other_company_management,current_company_experience_years
MAGN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MBNK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MDMG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MGNT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MGTSP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MOEX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MRKC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MRKP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MRKU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MRKV,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MRKZ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MSNG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MSRS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MTLR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MTSS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MVID,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NKHP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NKNC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NLMK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NMTP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NVTK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OGKB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OKEY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OZPH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PHOR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PIKK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PLZL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
POLY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
POSI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PRMD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
QIWI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RASP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RENI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RKKE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RNFT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ROSN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RTKM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RUAL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SBER,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SELG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SFIN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SGZH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SMLT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SNGS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SOFL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SPBE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SVAV,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SVCB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TATN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TGKA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TGKB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TRMK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TRNFP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TTLK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UGLD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UPRO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
VKCO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
VSEH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
VSMO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
VTBR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WUSH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YDEX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ZAYM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
