sample,method,feature,mean,std,p025,p975,selection_frequency,successful_repetitions
ceo,critic,has_experience_same_industry_group,0.02194372790552612,0.011407782993220398,0.0,0.037496100055141965,0.835,200
ceo,critic,has_experience_same_sector,0.02194372790552612,0.011407782993220398,0.0,0.037496100055141965,0.835,200
ceo,critic,has_foreign_education,0.08945218753543896,0.006634387570270707,0.07685895872983693,0.10030773355542681,1.0,200
ceo,critic,has_law_education,0.06402696473671254,0.009505560370936205,0.045564091382723874,0.08076542980084293,1.0,200
ceo,critic,has_mba_emba,0.07971743076330244,0.006691317416468173,0.06495548562482681,0.0911492194425627,1.0,200
ceo,critic,has_other_company_management,0.08139367454076746,0.007517763898437818,0.06875041089136776,0.09597971954626548,1.0,200
ceo,critic,has_professional_retraining,0.04241168742154895,0.010293243782094811,0.02103203874501881,0.05906475618961059,0.99,200
ceo,critic,has_research_experience,0.06632646836075425,0.006200810583785545,0.055085934205002955,0.07824374488720974,1.0,200
ceo,critic,patents_count,0.005513398344015147,0.003170407172753733,0.0,0.010862347170700004,0.945,200
ceo,critic,professional_experience_years,0.02386306260777929,0.0019929517707993937,0.020325802894322478,0.027547293037542133,1.0,200
ceo,critic,publications_count,0.0007572384658755606,0.00021485223069348734,0.00039085903293446735,0.0011851115616616963,1.0,200
ceo,critic,research_experience_years,0.014495373168361421,0.0069501879218419335,0.0018391951167056255,0.027167586570360173,1.0,200
ceo,max_variance,current_company_experience_years,0.0,0.0,0.0,0.0,0.0,200
ceo,max_variance,education_bachelor_or_higher,0.0,0.0,0.0,0.0,0.0,200
ceo,max_variance,education_doctoral,0.0,0.0,0.0,0.0,0.0,200
ceo,max_variance,education_master_or_higher,0.025,0.1565167321316987,0.0,0.025000000000005684,0.025,200
ceo,max_variance,experience_years_same_industry,0.0,0.0,0.0,0.0,0.0,200
ceo,max_variance,experience_years_same_industry_group,0.0,0.0,0.0,0.0,0.0,200
ceo,max_variance,experience_years_same_sector,0.0,0.0,0.0,0.0,0.0,200
ceo,max_variance,has_economics_education,0.975,0.15651673213169867,0.9750000000000005,1.0,0.975,200
ceo,max_variance,has_experience_same_industry,0.0,0.0,0.0,0.0,0.0,200
ceo,max_variance,has_experience_same_industry_group,0.0,0.0,0.0,0.0,0.0,200
ceo,max_variance,has_experience_same_sector,0.0,0.0,0.0,0.0,0.0,200
ceo,max_variance,has_foreign_education,0.0,0.0,0.0,0.0,0.0,200
ceo,max_variance,has_law_education,0.0,0.0,0.0,0.0,0.0,200
ceo,max_variance,has_mba_emba,0.0,0.0,0.0,0.0,0.0,200
ceo,max_variance,has_other_company_management,0.0,0.0,0.0,0.0,0.0,200
ceo,max_variance,has_professional_retraining,0.0,0.0,0.0,0.0,0.0,200
ceo,max_variance,has_research_experience,0.0,0.0,0.0,0.0,0.0,200
ceo,max_variance,patents_count,0.0,0.0,0.0,0.0,0.0,200
ceo,max_variance,professional_experience_years,0.0,0.0,0.0,0.0,0.0,200
ceo,max_variance,publications_count,0.0,0.0,0.0,0.0,0.0,200
ceo,max_variance,research_experience_years,0.0,0.0,0.0,0.0,0.0,200
