ticker,name,role,education_secondary,education_bachelor,education_master,education_doctoral,education_level_unknown,has_mba_emba,has_foreign_education,has_professional_retraining,has_law_education,has_economics_education,publications_count,publications_count_is_lower_bound,has_research_experience,research_experience_years,patents_count,patents_count_is_lower_bound,experience_years_same_sector,experience_years_same_industry,experience_years_same_industry_group,professional_experience_years,has_experience_same_sector,has_experience_same_industry,has_experience_same_industry_group,has_other_company_management,current_company_experience_years,is_ceo
AFKS,Кузьминов Ярослав Иванович,Член СД,0,0,0,1,0,0,0,0,0,1,0.0,0,1,0,0.0,0,4,4,4,32,1,1,1,1,4,False
AFKS,Маслов Алексей Александрович,Член СД,0,0,0,1,0,0,0,0,0,0,0.0,0,1,0,0.0,0,0,0,0,4,1,1,1,1,0,False
AFKS,Ситдеков Тагир Алиевич,Президент (CEO) + Член СД,0,0,1,0,0,1,1,0,0,1,0.0,0,0,0,0.0,0,6,3,6,11,1,1,1,1,3,True
AFKS,Шохин Александр Николаевич,Член СД,0,0,0,1,0,0,0,0,0,1,0.0,0,1,0,0.0,0,0,0,0,31,1,1,1,1,0,False
AFLT,Александровский Сергей Владимирович,"Генеральный директор ПАО ""Аэрофлот"", председатель Правления; в CSV также указан как член Совета директоров.",0,0,1,0,0,0,0,0,1,0,0.0,0,0,0,0.0,0,8,8,8,8,1,1,1,1,3,True
AFLT,Бадеха Вадим Александрович,"Член Совета директоров ПАО ""Аэрофлот"" по CSV; генеральный директор ОАК с ноября 2024 года.",0,0,1,0,0,0,0,0,1,0,0.0,0,0,0,0.0,0,18,0,0,18,1,0,0,1,0,False
AFLT,Каменской Игорь Александрович,"Член Совета директоров ПАО ""Аэрофлот"" по CSV; финансист и бывший член Совета Федерации.",0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,24,0,0,0,1,0,False
AFLT,Ликсутов Максим Станиславович,"Член Совета директоров ПАО ""Аэрофлот"" по CSV; заместитель Мэра Москвы по вопросам транспорта в 2024 году.",0,0,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,2,0,2,15,1,0,1,1,0,False
AFLT,Моисеев Алексей Владимирович,"Член Совета директоров ПАО ""Аэрофлот"" по CSV; заместитель Министра финансов Российской Федерации в 2024 году.",0,0,1,0,0,1,1,0,0,1,0.0,0,0,0,0.0,0,0,0,0,26,0,0,0,0,0,False
AFLT,Никитин Андрей Сергеевич,"Член Совета директоров ПАО ""Аэрофлот"" по CSV; губернатор Новгородской области в 2024 году.",0,0,0,1,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0,0,0,15,0,0,0,1,0,False
AFLT,Пахомов Роман Викторович,"Член Совета директоров ПАО ""Аэрофлот"" по CSV; руководитель ООО ""Авиакапитал-Сервис"" по открытым регистрационным источникам.",0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,15,0,0,15,1,0,0,1,0,False
AFLT,Песков Дмитрий Николаевич,"Член Совета директоров ПАО ""Аэрофлот"" по CSV; специальный представитель Президента РФ по вопросам цифрового и технологического развития в 2024 году.",0,0,1,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0,0,0,0,27,0,0,0,1,0,False
AFLT,Прокофьев Станислав Евгеньевич,"Член Совета директоров ПАО ""Аэрофлот"" по CSV; ректор Финансового университета при Правительстве РФ.",0,0,0,1,0,0,0,1,0,1,200.0,1,1,10,0.0,0,0,0,0,21,0,0,0,1,0,False
AFLT,Савельев Виталий Геннадьевич,"Председатель Совета директоров ПАО ""Аэрофлот"" в 2024 году.",0,0,0,1,0,0,0,0,0,1,0.0,0,0,0,0.0,0,17,17,17,22,1,1,1,0,17,False
AFLT,Семёнов Андрей Викторович,"Первый заместитель генерального директора ПАО ""Аэрофлот"" по производству.",0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,3,3,3,3,1,1,1,1,3,False
AFLT,Чемезов Сергей Викторович,"Член Совета директоров ПАО ""Аэрофлот"" по CSV; генеральный директор Ростеха.",0,0,0,1,0,0,0,0,0,1,130.0,1,1,0,0.0,0,22,0,0,22,1,0,0,1,0,False
AFLT,Чиханчин Андрей Юрьевич,"Первый заместитель генерального директора ПАО ""Аэрофлот"" по коммерции и финансам.",0,0,0,1,0,0,0,0,0,1,0.0,0,0,0,0.0,0,4,4,4,6,1,1,1,1,4,False
AFLT,Шадаев Максут Игоревич,"Член Совета директоров ПАО ""Аэрофлот"" по CSV; Министр цифрового развития, связи и массовых коммуникаций РФ в 2024 году.",0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,8,0,0,0,0,0,False
AGRO,Липатов Тимур Владимирович,"В контексте 2024 года: генеральный директор ООО ""Группа Компаний ""Русагро""; в официальных материалах 2024 года также указан как генеральный директор ПАО ""Группа ""Русагро"" и член Совета директоров ROS AGRO PLC.",0,0,1,0,0,1,1,0,0,1,0.0,0,0,0,0.0,0,5,5,5,28,1,1,1,1,5,True
AKRN,Беликов Игорь Вячеславович,"Независимый директор Совета директоров ПАО ""Акрон"" в контексте 2024 года",0,0,0,1,0,0,0,0,0,1,0.0,0,1,23,0.0,0,11,11,11,57,1,1,1,1,11,False
AKRN,Гавриков Владимир Викторович,"Заместитель Председателя Совета директоров, советник Генерального директора (Президента) ПАО ""Акрон"" в контексте 2024 года",0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,55,55,55,61,1,1,1,0,55,False
AKRN,Данильченко Нина Викторовна,"Член Совета директоров, руководитель Департамента по безопасности бизнеса ПАО ""Акрон"" в контексте 2024 года",0,0,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,25,25,25,25,1,1,1,1,5,False
AKRN,Дынкин Александр Александрович,"Член Совета директоров, советник Генерального директора (Президента) ПАО ""Акрон"" в контексте 2024 года",0,0,0,1,0,0,0,0,0,1,1.0,1,1,54,0.0,0,10,10,10,75,1,1,1,1,10,False
AKRN,Кантолинский Михаил Иосифович,"Роль из CSV: Член СД; членство в Совете директоров ПАО ""Акрон"" в 2024 году не подтверждено, официальная страница Акрона указывает членство с июня 2026 года",0,0,0,1,0,0,0,0,0,1,1.0,1,1,1,0.0,0,0,0,0,12,0,0,0,1,0,False
AKRN,Колосовский Андрей Леонидович,"Член Совета директоров ПАО ""Акрон"" в контексте 2024 года",0,0,0,1,0,0,0,0,0,0,0.0,0,1,0,0.0,0,26,26,26,33,1,1,1,1,23,False
AKRN,Корнышев Олег Александрович,"Роль из CSV: Член СД; членство в Совете директоров ПАО ""Акрон"" в 2024 году не подтверждено, официальная страница Акрона указывает членство с июня 2026 года",0,0,1,0,0,0,0,0,1,0,0.0,0,0,0,0.0,0,10,10,10,10,1,1,1,1,0,False
AKRN,Куницкий Владимир Яковлевич,"Председатель Правления, Генеральный директор (Президент) ПАО ""Акрон"" в контексте 2024 года",0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,57,44,57,57,1,1,1,1,20,True
AKRN,Попов Александр Валериевич,"Председатель Совета директоров, Первый Вице-Президент ПАО ""Акрон"" в контексте 2024 года",0,0,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,29,29,29,33,1,1,1,1,14,False
AKRN,Швалюк Валерий Петрович,"Член Совета директоров, руководитель Департамента по экономике и финансам ПАО ""Акрон"" в контексте 2024 года",0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,24,24,24,24,1,1,1,1,17,False
ALRS,Багынанов Павел Николаевич,"Член Наблюдательного совета АК ""АЛРОСА"" (ПАО) в 2024 году.",0,0,1,0,0,0,0,1,0,1,0.0,0,0,0,0.0,0,1,1,1,30,1,1,1,1,1,False
ALRS,Григорьев Павел Анатольевич,Член СД по CSV; 2024 годовым отчетом АЛРОСА как видимый член Наблюдательного совета на 31.12.2024 не подтвержден.,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,False
ALRS,Григорьева Евгения Васильевна,"Член Наблюдательного совета; независимый директор АК ""АЛРОСА"" (ПАО) в 2024 году.",0,0,1,0,0,0,1,1,1,0,0.0,0,0,0,0.0,0,8,8,8,22,1,1,1,1,5,False
ALRS,Донец Андрей Иванович,"Член Наблюдательного совета; независимый директор АК ""АЛРОСА"" (ПАО) в 2024 году.",0,0,1,0,0,0,0,0,1,0,0.0,0,0,0,0.0,0,4,4,4,18,1,1,1,1,4,False
ALRS,Дяченко Сергей Николаевич,"Член Наблюдательного совета; старший независимый директор АК ""АЛРОСА"" (ПАО) в 2024 году.",0,0,1,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0,14,14,14,14,1,1,1,1,1,False
ALRS,Жондоров Валерий Алексеевич,Член СД по CSV; 2024 годовым отчетом АЛРОСА как видимый член Наблюдательного совета на 31.12.2024 не подтвержден.,0,0,1,0,0,0,0,1,0,1,0.0,0,1,0,0.0,0,0,0,0,44,0,0,0,1,0,False
ALRS,Иванов Сергей Сергеевич,"Член Наблюдательного совета; заместитель председателя Наблюдательного совета АК ""АЛРОСА"" (ПАО) в 2024 году.",0,0,0,1,0,0,0,0,0,1,0.0,0,0,0,0.0,0,8,8,8,27,1,1,1,1,8,False
ALRS,Маринычев Павел Алексеевич,"Генеральный директор - Председатель Правления АК ""АЛРОСА"" (ПАО); член Наблюдательного совета в 2024 году.",0,0,1,0,0,0,0,1,0,1,0.0,0,0,0,0.0,0,10,10,10,29,1,1,1,1,2,True
ALRS,Моисеев Алексей Владимирович,"Член Наблюдательного совета АК ""АЛРОСА"" (ПАО) в 2024 году.",0,0,1,0,0,1,1,0,0,1,0.0,0,0,0,0.0,0,7,7,7,14,1,1,1,1,7,False
ALRS,Николаев Айсен Сергеевич,"Член Наблюдательного совета; первый заместитель председателя Наблюдательного совета АК ""АЛРОСА"" (ПАО) в 2024 году.",0,0,1,0,0,0,0,1,0,1,0.0,0,0,0,0.0,0,7,7,7,42,1,1,1,0,7,False
ALRS,Николаев Игорь Иванович,"Член Наблюдательного совета АК ""АЛРОСА"" (ПАО) в 2024 году; член Комитета по кадрам и вознаграждениям.",0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,1,1,1,8,1,1,1,1,1,False
ALRS,Павленко Сергей Витальевич,"Первый заместитель генерального директора - исполнительный директор АК ""АЛРОСА"" (ПАО) по CSV and official ALROSA appointment release.",0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,32,32,32,32,1,1,1,0,32,False
ALRS,Рюмин Андрей Валерьевич,"Член Наблюдательного совета АК ""АЛРОСА"" (ПАО) в 2024 году.",0,0,0,1,0,0,0,0,0,1,0.0,0,0,0,0.0,0,1,1,1,21,1,1,1,1,1,False
ALRS,Силуанов Антон Германович,"Председатель Наблюдательного совета АК ""АЛРОСА"" (ПАО) в 2024 году.",0,0,0,1,0,0,0,0,0,1,0.0,0,1,0,0.0,0,6,6,6,16,1,1,1,0,6,False
ALRS,Фрадков Пётр Михайлович,"Член Наблюдательного совета АК ""АЛРОСА"" (ПАО) в 2024 году.",0,0,0,1,0,1,1,0,0,1,0.0,0,0,0,0.0,0,1,1,1,34,1,1,1,1,1,False
APTK,Кузин Александр Владимирович,"Генеральный директор ПАО ""Аптечная сеть 36,6"" с 23.10.2020; член Совета директоров ПАО ""Аптечная сеть 36,6"" в 2024 году",0,0,1,0,0,1,0,0,0,1,0.0,0,1,3,0.0,0,19,19,19,45,1,1,1,1,6,True
AQUA,Александров Владимир Валерьевич,"Независимый член Совета директоров ПАО ""ИНАРКТИКА"" в 2024 году; член Комитета по стратегии и Комитета по аудиту",0,1,0,0,0,1,1,0,0,1,0.0,0,0,0,0.0,0,5,5,5,28,1,1,1,1,2,False
AQUA,Аюпова Сайёра Якуповна,"Независимый член Совета директоров ПАО ""ИНАРКТИКА"" в 2024 году; председатель Комитета по стратегии; член Комитета по назначениям и вознаграждению",0,1,0,0,0,0,1,0,0,1,0.0,0,0,0,0.0,0,25,2,6,36,1,1,1,1,2,False
AQUA,Благирев Алексей Павлович,"По CSV: член СД; членство в Совете директоров ПАО ""ИНАРКТИКА"" в 2024 году не подтверждено. Официально найден как новый независимый директор, избранный 29.12.2025",0,0,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0,0,0,10,0,0,0,1,0,False
AQUA,Василенко Анна Геннадьевна,"Независимый член Совета директоров ПАО ""ИНАРКТИКА"" в 2024 году; председатель Комитета по назначениям и вознаграждению; член Комитета по устойчивому развитию",0,0,0,0,1,1,0,0,0,1,0.0,0,0,0,0.0,0,4,4,4,19,1,1,1,1,4,False
AQUA,Васильков Дмитрий Олегович,"Независимый член Совета директоров ПАО ""ИНАРКТИКА"" в 2024 году; член Комитета по стратегии",0,0,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,2,2,2,24,1,1,1,1,2,False
AQUA,Кащеев Роман Витальевич,"Независимый член Совета директоров ПАО ""ИНАРКТИКА"" в 2024 году; председатель Комитета по устойчивому развитию; член Комитета по аудиту",0,0,1,0,0,0,0,0,0,1,1.0,1,1,0,0.0,0,4,4,4,29,1,1,1,1,4,False
AQUA,Марченко Андрей Александрович,"Независимый член Совета директоров ПАО ""ИНАРКТИКА"" в 2024 году; член Комитета по устойчивому развитию",0,0,0,1,0,0,0,0,0,1,0.0,0,0,0,0.0,0,3,3,3,42,1,1,1,1,3,False
AQUA,Погуляев Владислав Юрьевич,"Независимый член Совета директоров ПАО ""ИНАРКТИКА"" в 2024 году; председатель Комитета по аудиту; член Комитета по назначениям и вознаграждению",0,0,0,1,0,1,0,0,0,1,0.0,0,0,0,0.0,0,4,4,4,13,1,1,1,1,4,False
AQUA,Соснов Илья Геннадьевич,"Генеральный директор ПАО ""ИНАРКТИКА"" в 2024 году; в июле 2024 года полномочия продлены с 18.07.2024 до 17.07.2027",0,0,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,25,25,25,28,1,1,1,1,10,True
AQUA,Чернова Екатерина Анатольевна,"Председатель Совета директоров ПАО ""ИНАРКТИКА"" в 2024 году; член Комитета по устойчивому развитию",0,0,1,0,0,1,1,0,0,1,0.0,0,0,0,0.0,0,7,7,7,35,1,1,1,1,7,False
ASTR,Прянишников Николай Николаевич,"Роль из CSV (первый заместитель генерального директора, исполнительный директор) подтверждена 2026-источниками (официальный релиз ""Астры"", d-russia.ru); точная дата перехода с должности CCO не раскрыта. Также подтверждены: главный коммерческий директор (CCO) ""Группы Астра"" с 01.07.2024 и член Совета директоров с 28.06.2024.",0,0,0,1,0,1,0,0,0,1,0.0,0,1,0,0.0,0,9,9,9,39,1,1,1,1,2,False
ASTR,Сивцев Илья Игоревич,"Генеральный директор ПАО ""Группа Астра""; член Совета директоров, избранный ГОСА 28.06.2024.",0,0,0,0,1,0,0,0,0,1,0.0,0,0,0,0.0,0,10,10,10,23,1,1,1,1,5,True
ASTR,Фролов Денис Владимирович,"Председатель Совета директоров ПАО ""Группа Астра""; контролирующий акционер/конечный бенефициар в контексте 2024 года.",0,0,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,10,6,10,27,1,1,1,1,1,False
BANEP,Стрельцов Тимофей Михайлович,"CEO по CSV; проверенные источники подтверждают назначение генеральным директором ПАО АНК ""Башнефть"" только с 16.09.2025. В контексте 2024 года подтвержден как первый вице-президент ПАО НК ""Роснефть"" по развитию нефтегазового и шельфового бизнеса, а не как CEO Башнефти.",0,0,1,0,0,0,0,0,0,0,1.0,1,0,0,0.0,0,24,24,24,24,1,1,1,1,0,False
BELU,Белокопытов Николай Владимирович,"Председатель совета директоров; заместитель председателя правления - финансовый директор ПАО ""НоваБев Групп"".",0,0,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,13,13,13,15,1,1,1,1,7,False
BELU,Гукасян Мелине Генриковна,"Независимый директор ПАО ""НоваБев Групп""; генеральный директор ООО ""КрафтХайнц Восток""; председатель комитета по вознаграждениям и номинациям.",0,0,1,0,0,1,1,0,0,1,0.0,0,0,0,0.0,0,10,4,10,10,1,1,1,1,4,False
BELU,Иконников Александр Вячеславович,"Независимый директор ПАО ""НоваБев Групп""; председатель комитета по аудиту; председатель наблюдательного совета Ассоциации профессиональных директоров АНД.",0,0,0,1,0,0,0,0,0,1,0.0,0,1,0,0.0,0,7,7,7,41,1,1,1,1,7,False
BELU,Крачковский Александр Борисович,"Член совета директоров ПАО ""НоваБев Групп""; директор ООО ""НоваБев Маркет"".",0,0,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,9,9,9,26,1,1,1,1,2,False
BELU,Купцов Сергей Александрович,"CSV указывает ""Член СД""; в локальном годовом отчете за 2024 год в составе совета директоров не найден, а официальные раскрытия 2025 года указывают его кандидатом/членом совета директоров после 2024 года. Профессионально подтвержден как руководитель корпоративных финансов BELUGA GROUP.",0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,26,26,26,26,1,1,1,1,26,False
BELU,Мечетин Александр Анатольевич,Член совета директоров; основатель Novabev Group. В 2024 году исполнительная должность председателя правления за ним не подтверждается.,0,0,0,1,0,1,1,0,1,1,0.0,0,1,0,0.0,0,25,25,25,25,1,1,1,1,24,False
BELU,Молчанов Сергей Витальевич,"Член совета директоров; первый заместитель председателя правления - операционный директор ПАО ""НоваБев Групп"".",0,0,1,0,0,0,1,0,0,1,0.0,0,0,0,0.0,0,25,25,25,25,1,1,1,0,25,False
BELU,Ордовский-Танаевский Бланко Ростислав,"Независимый директор ПАО ""НоваБев Групп""; президент ООО ""РосКорп"".",0,1,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0,0,0,0,45,1,1,1,1,0,False
BELU,Прохоров Константин Анатольевич,"Председатель правления ПАО ""НоваБев Групп""; член совета директоров в составе, действовавшем в 2024 году.",0,0,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,3,3,3,3,1,1,1,1,0,True
BSPB,Иванникова Елена Викторовна,"Председатель Наблюдательного совета ПАО ""Банк ""Санкт-Петербург""; в CSV указана как Председатель СД.",0,0,1,0,0,0,1,0,0,1,0.0,0,0,0,0.0,0,43,43,43,43,1,1,1,0,34,False
BSPB,Савельев Александр Васильевич,"Председатель Правления ПАО ""Банк ""Санкт-Петербург""; в CSV указан как CEO+Председатель правления.",0,0,1,0,0,0,0,0,0,0,0.0,0,1,4,0.0,0,48,48,48,82,1,1,1,1,41,True
CBOM,Маликова Дина Ринатовна,"Председатель Правления ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" с июля 2025 года; CSV указывает эту роль, но для календарного 2024 года она не подтверждена",0,0,0,1,0,0,1,0,0,1,5.0,1,1,0,0.0,0,36,36,36,41,1,1,1,1,0,False
CHMF,Мордашов Алексей Александрович,"Председатель Совета директоров ПАО ""Северсталь""; основной акционер, indirectly controlling 77.03% of shares as of 31.12.2024.",0,0,1,0,0,1,1,0,0,1,0.0,0,0,0,0.0,0,38,38,38,44,1,1,1,1,16,False
CHMF,Шевелёв Александр Анатольевич,"Генеральный директор АО ""Северсталь Менеджмент"" (управляющая организация ПАО ""Северсталь""); в публикациях 2024 года также обозначается как генеральный директор ""Северстали"".",0,0,1,0,0,1,1,0,0,1,0.0,0,0,0,0.0,0,30,29,30,33,1,1,1,1,0,True
CHMK,Капнин Владимир Викторович,"Указан в CSV как CEO; в контексте 2024 года эта роль не подтверждена. Официальные источники подтверждают, что в 2024 году он работал в техническом развитии ПАО ""Мечел"", а генеральным директором ПАО ""ЧМК"" назначен с 05.03.2026 (дата уточнена в раунде 2 -- см. validation_notes). РАУНД 4 (2026-07-29, quality pass): при повторной сверке первичного источника (та же ссылка mechel.ru) карьерная хронология 1997-2010 годов скорректирована -- см. tmt[0].notes и professional_experience для деталей и обоснования.",0,0,0,1,0,0,0,0,0,0,0.0,0,1,0,3.0,1,27,27,27,41,1,1,1,1,11,False
CIAN,Григорьев Дмитрий Константинович,"Генеральный директор МКПАО ""Циан""; член Совета директоров",0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,11,11,11,23,1,1,1,1,1,True
CIAN,Мельников Максим Анатольевич,"Председатель Совета директоров МКПАО ""Циан""",0,0,1,0,0,1,1,0,0,1,0.0,0,0,0,0.0,0,18,13,18,22,1,1,1,1,1,False
DATA,Бушуева Екатерина Андреевна,Директор по связям с инвесторами Группы Arenadata,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,1,1,1,0,False
DATA,Гревцев Виктор Викторович,Руководитель подразделения внутреннего аудита,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1,1,1,8,1,1,1,0,1,False
DATA,Жуков Андрей,Коммерческий директор Группы Arenadata,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,1,1,1,0,False
DATA,Муницына Мария Анатольевна,Руководитель подразделения внутреннего контроля и управления рисками,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1,1,1,1,1,1,1,0,1,False
DATA,Пустовой Максим Владимирович,"Генеральный директор ПАО ""Группа Аренадата""",0,0,1,0,0,1,1,0,0,0,0.0,0,0,0,0.0,0,20,9,20,29,1,1,1,1,2,True
DELI,Алгульян Даниил Валерьевич,"Независимый член Совета директоров ПАО ""Каршеринг Руссия"" в составе, действующем с 25 июня 2024 года.",0,0,1,0,0,1,1,0,0,1,0.0,0,1,0,0.0,0,1,1,1,29,1,1,1,1,1,False
DELI,Артюх Константин Юрьевич,"Независимый член Совета директоров ПАО ""Каршеринг Руссия"" в 2024 году.",0,0,0,1,0,1,1,0,1,1,0.0,0,1,0,0.0,0,2,2,2,8,1,1,1,1,2,False
DELI,Белотуркин Александр,Технический директор / глава департамента информационных технологий Делимобиля; назначен в сентябре 2024 года.,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,1,1,1,1,1,1,1,1,1,False
DELI,Бехтина Елена Александровна,"Генеральный директор ПАО ""Каршеринг Руссия"" в 2024 году; в должности с 1 октября 2020 года.",0,1,0,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,10,10,10,20,1,1,1,1,4,True
DELI,Гюванч Донмез,"Независимый член Совета директоров ПАО ""Каршеринг Руссия"" в 2024 году.",0,1,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0,2,2,2,26,1,1,1,1,2,False
DELI,Коновальчук Виталий,Директор по клиентскому опыту и персоналу / заместитель генерального директора по управлению персоналом и клиентским опытом Делимобиля.,0,0,1,0,0,1,1,0,0,1,0.0,0,0,0,0.0,0,5,5,5,16,1,1,1,1,5,False
DELI,Лойко Михаил,Финансовый директор Делимобиля; назначен советом директоров 21 августа 2024 года.,0,0,0,0,1,1,0,0,0,1,0.0,0,0,0,0.0,0,1,1,1,12,1,1,1,1,1,False
DELI,Меликян Артур Борисович,"Неисполнительный член Совета директоров ПАО ""Каршеринг Руссия"" в 2024 году.",0,0,0,1,0,0,0,0,1,1,0.0,0,0,0,0.0,0,13,11,11,13,1,1,1,1,4,False
DELI,Полещук Ярослав Николаевич,"Неисполнительный член Совета директоров ПАО ""Каршеринг Руссия"" в 2024 году.",0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,2,2,2,9,1,1,1,1,2,False
DELI,Саволайнен Ольга Викторовна,"Неисполнительный член Совета директоров ПАО ""Каршеринг Руссия"" в 2024 году.",0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,3,3,3,9,1,1,1,1,3,False
DELI,Садовин Владимир Альбертович,"Независимый член Совета директоров ПАО ""Каршеринг Руссия"" в 2024 году.",0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,2,2,2,20,1,1,1,1,2,False
DELI,Чарухин Денис Юрьевич,"Председатель Совета директоров ПАО ""Каршеринг Руссия"" в составе, действующем с 25 июня 2024 года.",0,0,0,1,0,0,0,0,1,1,0.0,0,1,0,0.0,0,1,1,1,14,1,1,1,1,1,False
DELI,Чораян Григорий Ованесович,"Неисполнительный член Совета директоров ПАО ""Каршеринг Руссия"" в 2024 году.",0,0,0,1,0,0,1,0,0,1,0.0,0,1,0,0.0,0,4,4,4,17,1,1,1,1,4,False
DIAS,Бабкин Алексей Анатольевич,"Член Ревизионной комиссии ПАО ""Диасофт""",0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,11,11,11,11,1,1,1,1,1,False
DIAS,Бочкарев Сергей Викторович,"Председатель Совета директоров ПАО ""Диасофт""; независимый директор",0,0,0,1,0,0,1,1,0,1,0.0,0,0,0,0.0,0,4,1,4,38,1,1,1,1,1,False
DIAS,Глазков Александр Валериевич,"Генеральный директор ПАО ""Диасофт""; член Совета директоров",0,0,0,1,0,0,0,0,0,1,0.0,0,1,0,0.0,0,51,51,51,55,1,1,1,1,14,True
