ticker,name,kind,record,institution,qualification_degree,level_used,foreign_education
AFKS,Кузьминов Ярослав Иванович,education,0,Московский государственный университет имени М.В. Ломоносова,Specialist degree,master,0
AFKS,Кузьминов Ярослав Иванович,degrees,0,Московский государственный университет имени М.В. Ломоносова,Doctoral degree,doctoral,0
AFKS,Евтушенков Феликс Владимирович,education,0,Московский университет имени А.С. Грибоедова,Specialist degree,master,0
AFKS,Евтушенков Феликс Владимирович,education,1,Российский государственный университет нефти и газа (национальный исследовательский университет) имени И.М. Губкина,,,0
AFKS,Евтушенков Владимир Петрович,education,0,Российский химико-технологический университет имени Д.И. Менделеева,Specialist degree,master,0
AFKS,Евтушенков Владимир Петрович,education,1,Московский государственный университет имени М.В. Ломоносова,Specialist degree,master,0
AFKS,Евтушенков Владимир Петрович,degrees,0,Государственный университет управления,Doctoral degree,doctoral,0
AFKS,Вьюгин Олег Вячеславович,education,0,Московский государственный университет имени М.В. Ломоносова,Specialist degree,master,0
AFKS,Вьюгин Олег Вячеславович,degrees,0,Московский государственный университет имени М.В. Ломоносова,Doctoral degree,doctoral,0
AFKS,Волошин Александр Стальевич,education,0,Российский университет транспорта,Specialist degree,master,0
AFKS,Волошин Александр Стальевич,education,1,Всероссийская академия внешней торговли,Professional certification,,0
AFKS,Васадзе Леван Шиоевич,education,0,Тбилисский государственный университет имени Иванэ Джавахишвили,Specialist degree,master,1
AFKS,Васадзе Леван Шиоевич,education,1,"Goizueta Business School, Emory University",MBA,,1
AFKS,Васадзе Леван Шиоевич,degrees,0,"Goizueta Business School, Emory University",MBA,,1
AFLT,Александровский Сергей Владимирович,education,0,Российский государственный социальный университет,Specialist degree,master,0
AFLT,Бадеха Вадим Александрович,education,0,Уральский государственный юридический университет имени В.Ф. Яковлева,Specialist degree,master,0
AFLT,Бадеха Вадим Александрович,education,1,Самарский национальный исследовательский университет имени академика С.П. Королёва,Specialist degree,master,0
AFLT,Каменской Игорь Александрович,education,0,Московский педагогический государственный университет,Specialist degree,master,0
AFLT,Ликсутов Максим Станиславович,education,0,Российский экономический университет имени Г.В. Плеханова,Specialist degree,master,0
AFLT,Ликсутов Максим Станиславович,education,1,Международный юридический институт,Specialist degree,master,0
AFLT,Моисеев Алексей Владимирович,education,0,Государственный университет управления,Specialist degree,master,0
AFLT,Моисеев Алексей Владимирович,education,1,University of Rochester,MBA,,1
AFLT,Никитин Андрей Сергеевич,education,0,Государственный университет управления,Specialist degree,master,0
AFLT,Никитин Андрей Сергеевич,degrees,0,,Doctoral degree,doctoral,0
AFLT,Никитин Андрей Сергеевич,degrees,1,,Doctoral degree,doctoral,0
AFLT,Песков Дмитрий Николаевич,education,0,Воронежский государственный университет,Specialist degree,master,0
AFLT,Песков Дмитрий Николаевич,education,1,University of Manchester,Master's degree,master,1
AFLT,Песков Дмитрий Николаевич,degrees,0,,Master's degree,master,0
AFLT,Прокофьев Станислав Евгеньевич,education,0,Саратовский государственный технический университет имени Гагарина Ю.А.,Specialist degree,master,0
AFLT,Прокофьев Станислав Евгеньевич,education,1,Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации,Professional certification,,0
AFLT,Прокофьев Станислав Евгеньевич,degrees,0,,Doctoral degree,doctoral,0
AFLT,Савельев Виталий Геннадьевич,education,0,Санкт-Петербургский политехнический университет Петра Великого,Specialist degree,master,0
AFLT,Савельев Виталий Геннадьевич,education,1,Санкт-Петербургский государственный экономический университет,Specialist degree,master,0
AFLT,Савельев Виталий Геннадьевич,degrees,0,,Doctoral degree,doctoral,0
AFLT,Чемезов Сергей Викторович,education,0,Байкальский государственный университет,Specialist degree,master,0
AFLT,Чемезов Сергей Викторович,education,1,Военная академия Генерального штаба Вооружённых Сил Российской Федерации,Executive education,,0
AFLT,Чемезов Сергей Викторович,degrees,0,,Doctoral degree,doctoral,0
AFLT,Чемезов Сергей Викторович,degrees,1,,,,0
AFLT,Шадаев Максут Игоревич,education,0,Российский государственный социальный университет,Specialist degree,master,0
AFLT,Чиханчин Андрей Юрьевич,education,0,Финансовый университет при Правительстве Российской Федерации,Specialist degree,master,0
AFLT,Чиханчин Андрей Юрьевич,degrees,0,,Doctoral degree,doctoral,0
AGRO,Липатов Тимур Владимирович,education,0,Национальный исследовательский университет «МЭИ»,Specialist degree,master,0
AGRO,Липатов Тимур Владимирович,education,1,Международный независимый эколого-политологический университет,Professional certification,,0
AGRO,Липатов Тимур Владимирович,education,2,"European School of Management and Technology, Berlin",MBA,,1
AGRO,Липатов Тимур Владимирович,degrees,0,"European School of Management and Technology, Berlin",MBA,,1
AKRN,Куницкий Владимир Яковлевич,education,0,Уральский федеральный университет имени первого Президента России Б.Н. Ельцина,Specialist degree,master,0
AKRN,Попов Александр Валериевич,education,0,Финансовый университет при Правительстве Российской Федерации,Specialist degree,master,0
AKRN,Гавриков Владимир Викторович,education,0,Новомосковский институт (филиал) РХТУ им. Д.И. Менделеева,Specialist degree,master,0
AKRN,Колосовский Андрей Леонидович,education,0,Ивановский государственный химико-технологический университет,Specialist degree,master,0
AKRN,Колосовский Андрей Леонидович,degrees,0,,Doctoral degree,doctoral,0
AKRN,Данильченко Нина Викторовна,education,0,Российский государственный геологоразведочный университет имени Серго Орджоникидзе,Specialist degree,master,0
AKRN,Корнышев Олег Александрович,education,0,Московский государственный юридический университет имени О.Е. Кутафина (МГЮА),Specialist degree,master,0
AKRN,Беликов Игорь Вячеславович,education,0,Воронежский государственный университет,Specialist degree,master,0
AKRN,Беликов Игорь Вячеславович,education,1,Институт Африки Российской академии наук,Doctoral degree,doctoral,0
AKRN,Беликов Игорь Вячеславович,education,2,Финансовый университет при Правительстве Российской Федерации,Professional certification,,0
AKRN,Беликов Игорь Вячеславович,degrees,0,,Doctoral degree,doctoral,0
AKRN,Дынкин Александр Александрович,education,0,Московский авиационный институт (национальный исследовательский университет),Specialist degree,master,0
AKRN,Дынкин Александр Александрович,education,1,Институт мировой экономики и международных отношений имени Е.М. Примакова РАН,Doctoral degree,doctoral,0
AKRN,Дынкин Александр Александрович,degrees,0,,Doctoral degree,doctoral,0
AKRN,Дынкин Александр Александрович,degrees,1,,Doctoral degree,doctoral,0
AKRN,Дынкин Александр Александрович,degrees,2,,Unknown,,0
AKRN,Швалюк Валерий Петрович,education,0,Московский политехнический университет,,,0
AKRN,Швалюк Валерий Петрович,education,1,Государственный университет управления,,,0
AKRN,Кантолинский Михаил Иосифович,education,0,Финансовый университет при Правительстве Российской Федерации,Specialist degree,master,0
AKRN,Кантолинский Михаил Иосифович,degrees,0,,Doctoral degree,doctoral,0
ALRS,Маринычев Павел Алексеевич,education,0,Новосибирская академия экономики и управления,Specialist degree,master,0
ALRS,Маринычев Павел Алексеевич,education,1,Московский институт нефтегазового бизнеса,Professional certification,,0
ALRS,Силуанов Антон Германович,education,0,Финансовый университет при Правительстве Российской Федерации,Specialist degree,master,0
ALRS,Силуанов Антон Германович,education,1,Финансовый университет при Правительстве Российской Федерации,Professional certification,,0
ALRS,Силуанов Антон Германович,education,2,Финансовый университет при Правительстве Российской Федерации,Professional certification,,0
ALRS,Силуанов Антон Германович,degrees,0,,Doctoral degree,doctoral,0
ALRS,Силуанов Антон Германович,degrees,1,,Doctoral degree,doctoral,0
ALRS,Силуанов Антон Германович,degrees,2,,,,0
ALRS,Николаев Айсен Сергеевич,education,0,Московский государственный университет имени М.В. Ломоносова,Specialist degree,master,0
ALRS,Николаев Айсен Сергеевич,education,1,Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации,,,0
ALRS,Иванов Сергей Сергеевич,education,0,Московский государственный институт международных отношений (университет) Министерства иностранных дел Российской Федерации,Specialist degree,master,0
ALRS,Иванов Сергей Сергеевич,education,1,Московский государственный институт международных отношений (университет) Министерства иностранных дел Российской Федерации,Specialist degree,master,0
ALRS,Иванов Сергей Сергеевич,degrees,0,Российский экономический университет имени Г.В. Плеханова,Doctoral degree,doctoral,0
ALRS,Моисеев Алексей Владимирович,education,0,Государственный университет управления,Specialist degree,master,0
ALRS,Моисеев Алексей Владимирович,education,1,University of Rochester,MBA,,1
ALRS,Моисеев Алексей Владимирович,education,2,Финансовый университет при Правительстве Российской Федерации,Professional certification,,0
ALRS,Моисеев Алексей Владимирович,education,3,Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации,Professional certification,,0
ALRS,Моисеев Алексей Владимирович,degrees,0,University of Rochester,MBA,,1
ALRS,Дяченко Сергей Николаевич,education,0,Санкт-Петербургский горный университет императрицы Екатерины II,Specialist degree,master,0
ALRS,Дяченко Сергей Николаевич,education,1,University of Pretoria,Master's degree,master,1
ALRS,Дяченко Сергей Николаевич,degrees,0,University of Pretoria,Master's degree,master,1
ALRS,Жондоров Валерий Алексеевич,education,0,Национальный исследовательский университет «МИЭТ»,Specialist degree,master,0
ALRS,Жондоров Валерий Алексеевич,education,1,Академия труда и социальных отношений,Specialist degree,master,0
ALRS,Жондоров Валерий Алексеевич,education,2,Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации,Professional certification,,0
ALRS,Донец Андрей Иванович,education,0,Благовещенский государственный педагогический университет,Specialist degree,master,0
ALRS,Багынанов Павел Николаевич,education,0,Якутский финансово-экономический колледж,Secondary education,secondary,0
ALRS,Багынанов Павел Николаевич,education,1,Хабаровский государственный университет экономики и права,Specialist degree,master,0
ALRS,Багынанов Павел Николаевич,education,2,Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации,,,0
ALRS,Григорьева Евгения Васильевна,education,0,Рижский институт инженеров гражданской авиации имени Ленинского комсомола,Specialist degree,master,1
ALRS,Григорьева Евгения Васильевна,education,1,Северо-Восточный федеральный университет имени М.К. Аммосова,Specialist degree,master,0
ALRS,Григорьева Евгения Васильевна,education,2,Дальневосточный институт управления - филиал РАНХиГС,Professional certification,,0
ALRS,Николаев Игорь Иванович,education,0,Государственный университет управления,,,0
ALRS,Рюмин Андрей Валерьевич,education,0,Московский государственный университет имени М.В. Ломоносова,Specialist degree,master,0
ALRS,Рюмин Андрей Валерьевич,degrees,0,,Doctoral degree,doctoral,0
ALRS,Фрадков Пётр Михайлович,education,0,Московский государственный институт международных отношений (университет) Министерства иностранных дел Российской Федерации,Specialist degree,master,0
ALRS,Фрадков Пётр Михайлович,education,1,Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации,Doctoral degree,doctoral,0
ALRS,Фрадков Пётр Михайлович,education,2,Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации,MBA,,0
ALRS,Фрадков Пётр Михайлович,education,3,Kingston University,MBA,,1
ALRS,Фрадков Пётр Михайлович,degrees,0,,Doctoral degree,doctoral,0
ALRS,Фрадков Пётр Михайлович,degrees,1,,MBA,,0
ALRS,Павленко Сергей Витальевич,education,0,Национальный исследовательский технологический университет «МИСиС»,Specialist degree,master,0
APTK,Кузин Александр Владимирович,education,0,Национальный исследовательский ядерный университет «МИФИ»,Specialist degree,master,0
APTK,Кузин Александр Владимирович,degrees,0,Московская международная высшая школа бизнеса «МИРБИС»,MBA,,0
AQUA,Соснов Илья Геннадьевич,education,0,Московский государственный университет имени М.В. Ломоносова,Specialist degree,master,0
AQUA,Чернова Екатерина Анатольевна,education,0,Финансовый университет при Правительстве Российской Федерации,Specialist degree,master,0
AQUA,Чернова Екатерина Анатольевна,education,1,Harvard Business School,Executive education,,1
AQUA,Чернова Екатерина Анатольевна,education,2,Association of Chartered Certified Accountants (ACCA),Professional certification,,0
AQUA,Аюпова Сайёра Якуповна,education,0,Ташкентский государственный университет востоковедения,Bachelor's degree,bachelor,1
AQUA,Аюпова Сайёра Якуповна,education,1,Institute of Directors (IoD),Professional certification,,0
AQUA,Аюпова Сайёра Якуповна,education,2,INSEAD,Executive education,,1
AQUA,Погуляев Владислав Юрьевич,education,0,Московский государственный университет имени М.В. Ломоносова,Bachelor's degree,bachelor,0
AQUA,Погуляев Владислав Юрьевич,education,1,Московская школа управления «Сколково»,MBA,,0
AQUA,Погуляев Владислав Юрьевич,education,2,,Professional certification,,0
AQUA,Погуляев Владислав Юрьевич,education,3,Саморегулируемая организация аудиторов «Аудиторская палата России»,Professional certification,,0
AQUA,Погуляев Владислав Юрьевич,education,4,CFA Institute,Professional certification,,0
AQUA,Погуляев Владислав Юрьевич,degrees,0,,Doctoral degree,doctoral,0
AQUA,Александров Владимир Валерьевич,education,0,Финансовый университет при Правительстве Российской Федерации,Bachelor's degree,bachelor,0
AQUA,Александров Владимир Валерьевич,education,1,Harvard Business School,MBA,,1
AQUA,Александров Владимир Валерьевич,degrees,0,Harvard Business School,MBA,,1
AQUA,Васильков Дмитрий Олегович,education,0,Московский государственный институт международных отношений (университет) Министерства иностранных дел Российской Федерации,Master's degree,master,0
AQUA,Васильков Дмитрий Олегович,degrees,0,Московский государственный институт международных отношений (университет) Министерства иностранных дел Российской Федерации,Master's degree,master,0
AQUA,Кащеев Роман Витальевич,education,0,Московский государственный университет имени М.В. Ломоносова,Master's degree,master,0
AQUA,Кащеев Роман Витальевич,education,1,International Compliance Association,Professional certification,,0
AQUA,Кащеев Роман Витальевич,degrees,0,Московский государственный университет имени М.В. Ломоносова,Master's degree,master,0
AQUA,Благирев Алексей Павлович,education,0,Российский государственный университет инновационных технологий и предпринимательства,Specialist degree,master,0
AQUA,Благирев Алексей Павлович,education,1,Association of Chartered Certified Accountants (ACCA),Professional certification,,0
AQUA,Василенко Анна Геннадьевна,education,0,Московский государственный университет имени М.В. Ломоносова,Unknown,,0
AQUA,Василенко Анна Геннадьевна,education,1,Московская школа управления «Сколково»,MBA,,0
AQUA,Василенко Анна Геннадьевна,education,2,Institute of Directors (IoD),Professional certification,,0
AQUA,Марченко Андрей Александрович,education,0,Московский государственный открытый университет имени В.С. Черномырдина,Specialist degree,master,0
AQUA,Марченко Андрей Александрович,education,1,Московский государственный университет имени М.В. Ломоносова,Unknown,doctoral,0
AQUA,Марченко Андрей Александрович,education,2,Федеральная служба по финансовым рынкам,Professional certification,,0
AQUA,Марченко Андрей Александрович,degrees,0,Московский государственный университет имени М.В. Ломоносова,Doctoral degree,doctoral,0
ASTR,Сивцев Илья Игоревич,education,0,,,,0
ASTR,Сивцев Илья Игоревич,education,1,Московская школа управления «Сколково»,,,0
ASTR,Прянишников Николай Николаевич,education,0,Московский автомобильно-дорожный государственный технический университет (МАДИ),Specialist degree,master,0
ASTR,Прянишников Николай Николаевич,education,1,Финансовый университет при Правительстве Российской Федерации,Specialist degree,master,0
ASTR,Прянишников Николай Николаевич,education,2,Высшая коммерческая школа Министерства внешних экономических связей и торговли Российской Федерации,MBA,,0
ASTR,Прянишников Николай Николаевич,degrees,0,,Doctoral degree,doctoral,0
ASTR,Фролов Денис Владимирович,education,0,Национальный исследовательский университет «Высшая школа экономики»,Bachelor's degree,bachelor,0
ASTR,Фролов Денис Владимирович,education,1,Национальный исследовательский университет «Высшая школа экономики»,Master's degree,master,0
ASTR,Фролов Денис Владимирович,education,2,"НПП ""Гамма""",Professional certification,,0
BANEP,Стрельцов Тимофей Михайлович,education,0,Новосибирский национальный исследовательский государственный университет,Specialist degree,master,0
BELU,Прохоров Константин Анатольевич,education,0,Приморская государственная сельскохозяйственная академия,Specialist degree,master,0
BELU,Белокопытов Николай Владимирович,education,0,Дальневосточный федеральный университет,Specialist degree,master,0
BELU,Гукасян Мелине Генриковна,education,0,Кубанский государственный университет,Specialist degree,master,0
BELU,Гукасян Мелине Генриковна,education,1,Российский экономический университет имени Г.В. Плеханова,Specialist degree,master,0
BELU,Гукасян Мелине Генриковна,education,2,INSEAD,MBA,,1
BELU,Иконников Александр Вячеславович,education,0,Российский государственный университет нефти и газа (национальный исследовательский университет) имени И.М. Губкина,Specialist degree,master,0
BELU,Иконников Александр Вячеславович,education,1,Institute of Directors (IoD),Professional certification,,0
BELU,Иконников Александр Вячеславович,education,2,Институт корпоративных директоров Австралии,Professional certification,,0
BELU,Иконников Александр Вячеславович,degrees,0,Российский государственный университет нефти и газа (национальный исследовательский университет) имени И.М. Губкина,Doctoral degree,doctoral,0
BELU,Купцов Сергей Александрович,education,0,Дальневосточный федеральный университет,,,0
BELU,Крачковский Александр Борисович,education,0,Дальневосточный федеральный университет,Specialist degree,master,0
BELU,Мечетин Александр Анатольевич,education,0,Дальневосточный федеральный университет,Specialist degree,master,0
BELU,Мечетин Александр Анатольевич,education,1,Дальневосточный федеральный университет,Specialist degree,master,0
BELU,Мечетин Александр Анатольевич,education,2,University of Oxford,MBA,,1
BELU,Мечетин Александр Анатольевич,degrees,0,,Doctoral degree,doctoral,0
BELU,Молчанов Сергей Витальевич,education,0,Дальневосточный федеральный университет,Specialist degree,master,0
BELU,Молчанов Сергей Витальевич,education,1,University of Maryland University College,Bachelor's degree,bachelor,1
BELU,Ордовский-Танаевский Бланко Ростислав,education,0,"Университет имени Симона Боливара, Каракас, Венесуэла",Bachelor's degree,bachelor,1
BSPB,Савельев Александр Васильевич,education,0,Казанский национальный исследовательский технический университет имени А.Н. Туполева — КАИ,Specialist degree,master,0
BSPB,Иванникова Елена Викторовна,education,0,Київський національний економічний університет імені Вадима Гетьмана,Specialist degree,master,1
CBOM,Маликова Дина Ринатовна,education,0,Казанский (Приволжский) федеральный университет,Specialist degree,master,0
CBOM,Маликова Дина Ринатовна,education,1,The Open University,Executive education,,1
CBOM,Маликова Дина Ринатовна,degrees,0,Казанский (Приволжский) федеральный университет,Doctoral degree,doctoral,0
CHMF,Шевелёв Александр Анатольевич,education,0,Вологодская государственная молочнохозяйственная академия имени Н.В. Верещагина,Specialist degree,master,0
CHMF,Шевелёв Александр Анатольевич,education,1,Санкт-Петербургский политехнический университет Петра Великого,Specialist degree,master,0
CHMF,Шевелёв Александр Анатольевич,education,2,Northumbria University,MBA,,1
CHMF,Шевелёв Александр Анатольевич,degrees,0,Northumbria University,MBA,,1
CHMF,Мордашов Алексей Александрович,education,0,Санкт-Петербургский государственный экономический университет,Specialist degree,master,0
CHMF,Мордашов Алексей Александрович,education,1,Northumbria University,MBA,,1
CHMF,Мордашов Алексей Александрович,degrees,0,Northumbria University,MBA,,1
CHMK,Капнин Владимир Викторович,education,0,Национальный исследовательский технологический университет «МИСиС»,Specialist degree,master,0
CHMK,Капнин Владимир Викторович,degrees,0,Национальный исследовательский технологический университет «МИСиС»,Doctoral degree,doctoral,0
CIAN,Григорьев Дмитрий Константинович,education,0,Национальный исследовательский университет «МИЭТ»,Specialist degree,master,0
CIAN,Мельников Максим Анатольевич,education,0,Финансовый университет при Правительстве Российской Федерации,Master's degree,master,0
CIAN,Мельников Максим Анатольевич,education,1,Stanford Graduate School of Business,MBA,,1
CIAN,Мельников Максим Анатольевич,degrees,0,Финансовый университет при Правительстве Российской Федерации,Master's degree,master,0
CIAN,Мельников Максим Анатольевич,degrees,1,Stanford Graduate School of Business,MBA,,1
DATA,Пустовой Максим Владимирович,education,0,Московский государственный университет имени М.В. Ломоносова,Specialist degree,master,0
DATA,Пустовой Максим Владимирович,education,1,Национальный исследовательский ядерный университет «МИФИ»,Specialist degree,master,0
DATA,Пустовой Максим Владимирович,education,2,IE Business School,MBA,,1
DATA,Пустовой Максим Владимирович,education,3,Государственный университет управления,MBA,,0
DATA,Жуков Андрей,education,0,Национальный исследовательский технологический университет «МИСиС»,Specialist degree,master,0
DATA,Бушуева Екатерина Андреевна,education,0,Финансовый университет при Правительстве Российской Федерации,Master's degree,master,0
DATA,Бушуева Екатерина Андреевна,education,1,Association of Chartered Certified Accountants (ACCA),Professional certification,,0
DATA,Гревцев Виктор Викторович,education,0,Уральский федеральный университет имени первого Президента России Б.Н. Ельцина,Specialist degree,master,0
DATA,Муницына Мария Анатольевна,education,0,Московский государственный институт международных отношений (университет) Министерства иностранных дел Российской Федерации,Specialist degree,master,0
DELI,Бехтина Елена Александровна,education,0,"НИУ ""Высшая школа экономики""",Bachelor's degree,bachelor,0
DELI,Бехтина Елена Александровна,degrees,0,"НИУ ""Высшая школа экономики""",Bachelor's degree,bachelor,0
DELI,Лойко Михаил,education,0,МГУ имени М. В. Ломоносова,Unknown,,0
DELI,Лойко Михаил,education,1,РАНХиГС,MBA,,0
DELI,Лойко Михаил,education,2,Kingston University London / РАНХиГС,MBA,,0
DELI,Лойко Михаил,degrees,0,РАНХиГС,MBA,,0
DELI,Лойко Михаил,degrees,1,Kingston University London / РАНХиГС,MBA,,0
DELI,Коновальчук Виталий,education,0,"Школа бизнеса ""Синергия""",MBA,,0
DELI,Коновальчук Виталий,education,1,Киевский национальный экономический университет имени Вадима Гетьмана,Master's degree,master,1
DELI,Коновальчук Виталий,degrees,0,"Школа бизнеса ""Синергия""",MBA,,0
DELI,Коновальчук Виталий,degrees,1,Киевский национальный экономический университет имени Вадима Гетьмана,Master's degree,master,1
DELI,Чарухин Денис Юрьевич,education,0,Финансовый университет / ВГНА,Specialist degree,master,0
DELI,Чарухин Денис Юрьевич,education,1,РАНХиГС,Executive education,,0
DELI,Чарухин Денис Юрьевич,degrees,0,Финансовый университет при Правительстве Российской Федерации,Doctoral degree,doctoral,0
DELI,Алгульян Даниил Валерьевич,education,0,МГИМО,Specialist degree,master,0
DELI,Алгульян Даниил Валерьевич,education,1,МГИМО,Master's degree,master,0
DELI,Алгульян Даниил Валерьевич,education,2,МГИМО,Specialist degree,master,0
DELI,Алгульян Даниил Валерьевич,education,3,London Business School,MBA,,1
DELI,Алгульян Даниил Валерьевич,degrees,0,London Business School,MBA,,1
DELI,Алгульян Даниил Валерьевич,degrees,1,МГИМО,Master's degree,master,0
DELI,Артюх Константин Юрьевич,education,0,Российский университет дружбы народов,Specialist degree,master,0
DELI,Артюх Константин Юрьевич,education,1,Университет Валенсии,Unknown,,1
DELI,Артюх Константин Юрьевич,education,2,Школа бизнеса Бута Университета Чикаго,MBA,,0
DELI,Артюх Константин Юрьевич,degrees,0,Российский университет дружбы народов,Doctoral degree,doctoral,0
DELI,Артюх Константин Юрьевич,degrees,1,University of Chicago Booth School of Business,MBA,,1
DELI,Гюванч Донмез,education,0,Босфорский университет,Bachelor's degree,bachelor,1
DELI,Меликян Артур Борисович,education,0,Российская правовая академия Министерства юстиции Российской Федерации,Specialist degree,master,0
DELI,Меликян Артур Борисович,education,1,"НИУ ""Высшая школа экономики""",Specialist degree,master,0
DELI,Меликян Артур Борисович,education,2,Северо-Западная академия государственной службы,Specialist degree,master,0
DELI,Меликян Артур Борисович,degrees,0,Российская правовая академия Министерства юстиции Российской Федерации,Doctoral degree,doctoral,0
DELI,Полещук Ярослав Николаевич,education,0,"Московский государственный университет экономики, статистики и информатики",Unknown,,0
DELI,Саволайнен Ольга Викторовна,education,0,Санкт-Петербургский университет МВД России,Specialist degree,master,0
DELI,Садовин Владимир Альбертович,education,0,МГИМО МИД Российской Федерации,Specialist degree,master,0
