ticker,name,kind,episode,organization,start_original,end_original,start_used,end_used,years,note,is_current_company
ABIO,Мауэр Константин Николаевич,professional,0,MayerGroup / Mauergroup,1993,,1993,2002,10,end_from_next_start,0
ABIO,Мауэр Константин Николаевич,professional,1,"ООО ""Аудиторская компания ""Мауэр-Аудит""",2002,,2002,2008,7,end_from_next_start,0
ABIO,Мауэр Константин Николаевич,professional,2,"ООО ""МауэрГруппРостов""",2002,,2002,2008,7,end_from_next_start,0
ABIO,Мауэр Константин Николаевич,professional,3,"ООО ""МауэрИнвест""",2008,,2008,2023,16,end_from_next_start,0
ABIO,Мауэр Константин Николаевич,professional,4,"ООО ""ИСКЧ Консалтинг""",2023,,2023,2024,2,end_at_collection_year,0
ABIO,Мауэр Константин Николаевич,professional,5,"ПАО ""Артген""",,,,,0,missing_dates_excluded,1
ABIO,Киселев Сергей Львович,professional,0,Институт общей генетики им. Н. И. Вавилова РАН,2007,,2007,2016,10,end_from_next_start,0
ABIO,Киселев Сергей Львович,professional,1,ФГБУ ФНКЦ ФХМ ФМБА России,2016,,2016,2024,9,end_at_collection_year,0
ABIO,Киселев Сергей Львович,professional,2,"ПАО ""Артген""",2007,,2007,2016,10,end_from_next_start,1
ABIO,Киселев Сергей Львович,research,0,Институт общей генетики им. Н. И. Вавилова РАН / ФНКЦ ФХМ ФМБА России,2007,,2007,2024,18,end_at_collection_year,
ABIO,Примак Алексей Евгеньевич,professional,0,Фондовый рынок / инвестиционный сектор,1993,,1993,2020,28,end_from_next_start,0
ABIO,Примак Алексей Евгеньевич,professional,1,Институт Финансово-Инвестиционных Технологий,,,,,0,missing_dates_excluded,0
ABIO,Примак Алексей Евгеньевич,professional,2,"ООО ""АВС-РЕЙТИНГ""",2020,,2020,2023,4,end_from_next_start,0
ABIO,Примак Алексей Евгеньевич,professional,3,"ПАО ""Артген""",2023,,2023,2024,2,end_at_collection_year,1
ABIO,Примак Алексей Евгеньевич,professional,4,"ПАО ""ЦГРМ ""ГЕНЕТИКО""",,,,,0,missing_dates_excluded,0
ABIO,Александров Дмитрий Андреевич,professional,0,Инвестиционные компании,2007,,2007,2008,2,end_from_next_start,0
ABIO,Александров Дмитрий Андреевич,professional,1,"ООО ""ИК ""ФайнэншлБридж""",2008,2009,2008,2009,2,,0
ABIO,Александров Дмитрий Андреевич,professional,2,"ООО ""УНИВЕР Капитал""",2009,2013,2009,2013,5,,0
ABIO,Александров Дмитрий Андреевич,professional,3,"ООО ""УНИВЕР Капитал""",2013,,2013,2024,12,end_at_collection_year,0
ABIO,Александров Дмитрий Андреевич,professional,4,"ПАО ""ИСКЧ"" / Artgen",,,,,0,missing_dates_excluded,0
ABIO,Александров Дмитрий Андреевич,professional,5,"ООО ""АВИ Кэпитал""",,,,,0,missing_dates_excluded,0
ABIO,Александров Дмитрий Андреевич,research,0,,,,,,0,missing_dates_excluded,
AFKS,Ситдеков Тагир Алиевич,professional,0,PwC,2000,2001,2000,2001,2,,0
AFKS,Ситдеков Тагир Алиевич,professional,1,Creditanstalt Investment Bank,2001,2003,2001,2003,3,,0
AFKS,Ситдеков Тагир Алиевич,professional,2,"ОАО ""Сочинская ТЭС""",2003,2005,2003,2005,3,,0
AFKS,Ситдеков Тагир Алиевич,professional,3,"ПАО АФК ""Система""",2022,,2022,2024,3,end_at_collection_year,1
AFKS,Шохин Александр Николаевич,professional,0,Российский союз промышленников и предпринимателей,2005,,2005,2024,20,end_at_collection_year,0
AFKS,Шохин Александр Николаевич,professional,1,НИУ ВШЭ,1995,,1995,2005,11,end_from_next_start,0
AFKS,Шохин Александр Николаевич,professional,2,"ПАО АФК ""Система""",,,,,0,missing_dates_excluded,1
AFKS,Шохин Александр Николаевич,research,0,НИУ ВШЭ / академическая среда,,,,,0,missing_dates_excluded,
AFKS,Маслов Алексей Александрович,professional,0,ИСАА МГУ,2021,,2021,2024,4,end_at_collection_year,0
AFKS,Маслов Алексей Александрович,professional,1,"ПАО АФК ""Система""",,,,,0,missing_dates_excluded,1
AFKS,Маслов Алексей Александрович,research,0,МГУ / ИСАА / ИСТИНА,,,,,0,missing_dates_excluded,
AFKS,Кузьминов Ярослав Иванович,professional,0,НИУ ВШЭ,1994,,1994,2021,28,end_from_next_start,0
AFKS,Кузьминов Ярослав Иванович,professional,1,"ПАО АФК ""Система""",2021,,2021,2024,4,end_at_collection_year,1
AFKS,Кузьминов Ярослав Иванович,research,0,НИУ ВШЭ,,,,,0,missing_dates_excluded,
AFKS,Евтушенков Феликс Владимирович,professional,0,"ПАО АФК ""Система""",,,,,0,missing_dates_excluded,1
AFKS,Евтушенков Феликс Владимирович,professional,1,МТС / Sistema Hals / активы группы,,,,,0,missing_dates_excluded,0
AFKS,Евтушенков Владимир Петрович,professional,0,"ПАО АФК ""Система""",,,,,0,missing_dates_excluded,1
AFKS,Евтушенков Владимир Петрович,research,0,,,,,,0,missing_dates_excluded,
AFKS,Вьюгин Олег Вячеславович,professional,0,Банк России / Минфин России / ФСФР России,,,,,0,missing_dates_excluded,0
AFKS,Вьюгин Олег Вячеславович,professional,1,Московская биржа / НРД,,,,,0,missing_dates_excluded,0
AFKS,Вьюгин Олег Вячеславович,professional,2,"ПАО АФК ""Система""",2022,,2022,2024,3,end_at_collection_year,1
AFKS,Вьюгин Олег Вячеславович,research,0,Институт народнохозяйственного прогнозирования АН СССР,1989,1993,1989,1993,5,,
AFKS,Волошин Александр Стальевич,professional,0,Администрация Президента РФ,1997,2003,1997,2003,7,,0
AFKS,Волошин Александр Стальевич,professional,1,"РАО ""ЕЭС России""",1999,2008,1999,2008,10,,0
AFKS,Волошин Александр Стальевич,professional,2,"ПАО АФК ""Система""",2024,,2024,2024,1,end_at_collection_year,1
AFKS,Васадзе Леван Шиоевич,professional,0,Aton / инвестиционно-финансовые организации,1995,1999,1995,1999,5,,0
AFKS,Васадзе Леван Шиоевич,professional,1,"ПАО АФК ""Система""",,,,,0,missing_dates_excluded,1
AFKS,Васадзе Леван Шиоевич,professional,2,"Росно (""РОСНО"", страховая компания)",2006,2007,2006,2007,2,,0
AFKS,Васадзе Леван Шиоевич,professional,3,Prometheus Capital Partners,2008,,2008,2024,17,end_at_collection_year,0
AFLT,Александровский Сергей Владимирович,professional,0,"ПАО ""Аэрофлот""",2022,,2022,2024,3,end_at_collection_year,1
AFLT,Александровский Сергей Владимирович,professional,1,"АО ""Авиакомпания ""Россия""",2018,2022,2018,2022,5,,0
AFLT,Бадеха Вадим Александрович,professional,0,"АО ""Объединенная авиастроительная корпорация""",2024,,2024,2024,1,end_at_collection_year,0
AFLT,Бадеха Вадим Александрович,professional,1,"АО ""Объединенная двигателестроительная корпорация""",2023,2024,2023,2024,2,,0
AFLT,Бадеха Вадим Александрович,professional,2,Уральский завод гражданской авиации,2009,2023,2009,2023,15,,0
AFLT,Каменской Игорь Александрович,professional,0,Совет Федерации,2002,2009,2002,2009,8,,0
AFLT,Каменской Игорь Александрович,professional,1,Renaissance Capital / Renaissance Broker,2009,,2009,2024,16,end_at_collection_year,0
AFLT,Ликсутов Максим Станиславович,professional,0,Правительство Москвы,2012,,2012,2024,13,end_at_collection_year,0
AFLT,Ликсутов Максим Станиславович,professional,1,"ООО ""Аэроэкспресс""",2009,2010,2009,2010,2,,0
AFLT,Моисеев Алексей Владимирович,professional,0,Министерство финансов Российской Федерации,2012,,2012,2024,13,end_at_collection_year,0
AFLT,Моисеев Алексей Владимирович,professional,1,ВТБ Капитал,2010,2012,2010,2012,3,,0
AFLT,Моисеев Алексей Владимирович,professional,2,Renaissance Capital,2001,2010,2001,2010,10,,0
AFLT,Никитин Андрей Сергеевич,professional,0,Новгородская область,2017,2025,2017,2024,8,end_capped_at_collection_year,0
AFLT,Никитин Андрей Сергеевич,professional,1,Агентство стратегических инициатив,2011,2017,2011,2017,7,,0
AFLT,Пахомов Роман Викторович,professional,0,"ООО ""Авиакапитал-Сервис""",2010,,2010,2024,15,end_at_collection_year,0
AFLT,Песков Дмитрий Николаевич,professional,0,Администрация Президента Российской Федерации,2018,,2018,2024,7,end_at_collection_year,0
AFLT,Песков Дмитрий Николаевич,professional,1,Агентство стратегических инициатив,2011,,2011,2018,8,end_from_next_start,0
AFLT,Песков Дмитрий Николаевич,professional,2,МГИМО,2000,,2000,2011,12,end_from_next_start,0
AFLT,Прокофьев Станислав Евгеньевич,professional,0,Финансовый университет при Правительстве Российской Федерации,2021,,2021,2024,4,end_at_collection_year,0
AFLT,Прокофьев Станислав Евгеньевич,professional,1,Федеральное казначейство,2005,2021,2005,2021,17,,0
AFLT,Прокофьев Станислав Евгеньевич,research,0,Финансовый университет при Правительстве Российской Федерации,2012,2021,2012,2021,10,,
AFLT,Савельев Виталий Геннадьевич,professional,0,"ПАО ""Аэрофлот""",2020,,2020,2024,5,end_at_collection_year,1
AFLT,Савельев Виталий Геннадьевич,professional,1,"ПАО ""Аэрофлот""",2009,2020,2009,2020,12,,1
AFLT,Савельев Виталий Геннадьевич,professional,2,Правительство Российской Федерации,2020,,2020,2024,5,end_at_collection_year,0
AFLT,Чемезов Сергей Викторович,professional,0,Государственная корпорация Ростех,2007,,2007,2024,18,end_at_collection_year,0
AFLT,Чемезов Сергей Викторович,professional,1,Рособоронэкспорт,2004,2007,2004,2007,4,,0
AFLT,Чемезов Сергей Викторович,research,0,Академия военных наук,,,,,0,missing_dates_excluded,
AFLT,Шадаев Максут Игоревич,professional,0,"Министерство цифрового развития, связи и массовых коммуникаций РФ",2020,,2020,2024,5,end_at_collection_year,0
AFLT,Шадаев Максут Игоревич,professional,1,Правительство Московской области,2018,2020,2018,2020,3,,0
AFLT,Чиханчин Андрей Юрьевич,professional,0,"ПАО ""Аэрофлот""",2022,,2022,2024,3,end_at_collection_year,1
AFLT,Чиханчин Андрей Юрьевич,professional,1,"ПАО ""Аэрофлот""",2020,2020,2020,2020,1,,1
AFLT,Чиханчин Андрей Юрьевич,professional,2,ВЭБ,2008,2009,2008,2009,2,,0
AFLT,Семёнов Андрей Викторович,professional,0,"ПАО ""Аэрофлот""",2022,,2022,2024,3,end_at_collection_year,1
AFLT,Семёнов Андрей Викторович,professional,1,"ПАО ""Аэрофлот""",,2022,,2022,0,missing_dates_excluded,1
AFLT,Семёнов Андрей Викторович,professional,2,"Авиакомпания ""ЮТэйр""",,,,,0,missing_dates_excluded,0
AGRO,Липатов Тимур Владимирович,professional,0,"Всероссийский теплотехнический научно-исследовательский институт; ОАО ""Технопромэкспорт""; ОАО ""Энел ОГК-5""",2002,2007,2002,2007,6,,0
AGRO,Липатов Тимур Владимирович,professional,1,"ОАО ""ОГК-3""",2007,2009,2007,2009,3,,0
AGRO,Липатов Тимур Владимирович,professional,2,"ОАО ""Э.ОН Россия"" / ПАО ""Юнипро""",2009,2014,2009,2014,6,,0
AGRO,Липатов Тимур Владимирович,professional,3,"ООО ""Интер РАО - Управление электрогенерацией""",2015,2018,2015,2018,4,,0
AGRO,Липатов Тимур Владимирович,professional,4,"ПАО / АО ""Силовые машины""",2018,2021,2018,2021,4,,0
AGRO,Липатов Тимур Владимирович,professional,5,"ГК ""Русагро"" / ООО ""Группа Компаний ""Русагро""",2021,,2021,2024,4,end_at_collection_year,1
AGRO,Липатов Тимур Владимирович,professional,6,"ПАО ""Группа ""Русагро"" / ROS AGRO PLC",2024,,2024,2024,1,end_at_collection_year,1
AKRN,Куницкий Владимир Яковлевич,professional,0,Красноуральский медькомбинат,1971,1983,1971,1983,13,,0
AKRN,Куницкий Владимир Яковлевич,professional,1,"ПАО ""Дорогобуж"" / Дорогобужское производственное объединение ""Минудобрения""",1983,,1983,2006,24,end_from_next_start,0
AKRN,Куницкий Владимир Яковлевич,professional,2,"ПАО ""Акрон""",2006,2011,2006,2011,6,,1
AKRN,Куницкий Владимир Яковлевич,professional,3,"ПАО ""Акрон""",2011,,2011,2024,14,end_at_collection_year,1
AKRN,Попов Александр Валериевич,professional,0,"ПАО ""Акрон""",1996,,1996,2004,9,end_from_next_start,1
AKRN,Попов Александр Валериевич,professional,1,Фонд Национальный Институт Корпоративной Реформы,2004,,2004,2007,4,end_from_next_start,0
AKRN,Попов Александр Валериевич,professional,2,"ПАО ""Акрон""",2007,,2007,2008,2,end_from_next_start,1
AKRN,Попов Александр Валериевич,professional,3,"ПАО ""Акрон""",2008,,2008,2010,3,end_from_next_start,1
AKRN,Попов Александр Валериевич,professional,4,"ПАО ""Дорогобуж""",2010,,2010,2024,15,end_at_collection_year,0
AKRN,Гавриков Владимир Викторович,professional,0,"ПАО ""Акрон""",1983,,1983,2005,23,end_from_next_start,1
AKRN,Гавриков Владимир Викторович,professional,1,"ПАО ""Акрон""",2005,2021,2005,2021,17,,1
AKRN,Гавриков Владимир Викторович,professional,2,Новгородская областная Дума,2016,2021,2016,2021,6,,0
AKRN,Гавриков Владимир Викторович,professional,3,"ПАО ""Акрон""",2021,,2021,2024,4,end_at_collection_year,1
AKRN,Гавриков Владимир Викторович,professional,4,"ПАО ""Акрон""",2006,,2006,2016,11,end_from_next_start,1
AKRN,Колосовский Андрей Леонидович,professional,0,"ПАО ""Акрон""",1997,2016,1997,2016,20,,1
AKRN,Колосовский Андрей Леонидович,professional,1,"ООО ""Научно-проектный центр ""Акрон инжиниринг""",2016,,2016,2022,7,end_from_next_start,0
AKRN,Колосовский Андрей Леонидович,professional,2,"ПАО ""Дорогобуж""",2022,,2022,2024,3,end_at_collection_year,0
AKRN,Колосовский Андрей Леонидович,professional,3,"ПАО ""Акрон""",2022,,2022,2024,3,end_at_collection_year,1
AKRN,Колосовский Андрей Леонидович,research,0,,,,,,0,missing_dates_excluded,
AKRN,Данильченко Нина Викторовна,professional,0,"ПАО ""Акрон"" / ПАО ""Дорогобуж""",2004,,2004,2013,10,end_from_next_start,0
AKRN,Данильченко Нина Викторовна,professional,1,"ПАО ""Акрон"" / ПАО ""Дорогобуж""",2013,,2013,2022,10,end_from_next_start,0
AKRN,Данильченко Нина Викторовна,professional,2,"ПАО ""Акрон""",2022,,2022,2024,3,end_at_collection_year,1
AKRN,Данильченко Нина Викторовна,professional,3,"ПАО ""Акрон""",2022,2023,2022,2023,2,,1
AKRN,Корнышев Олег Александрович,professional,0,"ПАО ""Акрон"" / ПАО ""Дорогобуж""",2004,2013,2004,2013,10,,0
AKRN,Корнышев Олег Александрович,professional,1,"ПАО ""Акрон""",2026,,2026,2024,0,after_collection_year_excluded,1
AKRN,Беликов Игорь Вячеславович,professional,0,Российский институт директоров,2002,,2002,2003,2,end_from_next_start,0
AKRN,Беликов Игорь Вячеславович,professional,1,Ассоциация менеджеров,2003,2022,2003,2022,20,,0
AKRN,Беликов Игорь Вячеславович,professional,2,Институт внутренних аудиторов,2007,2017,2007,2017,11,,0
AKRN,Беликов Игорь Вячеславович,professional,3,"ПАО ""Акрон""",2008,2016,2008,2016,9,,1
AKRN,Беликов Игорь Вячеславович,professional,4,"ОАО ""Аэропорт Внуково""",2012,2016,2012,2016,5,,0
AKRN,Беликов Игорь Вячеславович,professional,5,Банк России,2016,,2016,2023,8,end_from_next_start,0
AKRN,Беликов Игорь Вячеславович,professional,6,"ПАО ""Акрон""",2023,,2023,2024,2,end_at_collection_year,1
AKRN,Беликов Игорь Вячеславович,research,0,Российский институт директоров,2002,,2002,2024,23,end_at_collection_year,
AKRN,Дынкин Александр Александрович,professional,0,ИМЭМО РАН,1971,2006,1971,2006,36,,0
AKRN,Дынкин Александр Александрович,professional,1,Правительство Российской Федерации,1997,1999,1997,1999,3,,0
AKRN,Дынкин Александр Александрович,professional,2,Международный университет в Москве,2001,,2001,2006,6,end_from_next_start,0
AKRN,Дынкин Александр Александрович,professional,3,ИМЭМО РАН,2006,2016,2006,2016,11,,0
AKRN,Дынкин Александр Александрович,professional,4,ИМЭМО РАН,2016,,2016,2024,9,end_at_collection_year,0
AKRN,Дынкин Александр Александрович,professional,5,"ПАО ""Акрон""",2008,,2008,2009,2,end_from_next_start,1
AKRN,Дынкин Александр Александрович,professional,6,"ПАО ""Акрон""",2009,,2009,2016,8,end_from_next_start,1
AKRN,Дынкин Александр Александрович,research,0,ИМЭМО РАН / РАН,1971,,1971,2024,54,end_at_collection_year,
AKRN,Швалюк Валерий Петрович,professional,0,"ПАО ""Акрон""",1996,,1996,2005,10,end_from_next_start,1
AKRN,Швалюк Валерий Петрович,professional,1,"ПАО ""Акрон"" / ПАО ""Дорогобуж""",2005,,2005,2011,7,end_from_next_start,0
AKRN,Швалюк Валерий Петрович,professional,2,"ПАО ""Акрон""",2011,2015,2011,2015,5,,1
AKRN,Швалюк Валерий Петрович,professional,3,"ПАО ""Акрон""",2023,,2023,2024,2,end_at_collection_year,1
AKRN,Кантолинский Михаил Иосифович,professional,0,"ООО ""ИК ВЕЛЕС Капитал""",2014,2021,2014,2021,8,,0
AKRN,Кантолинский Михаил Иосифович,professional,1,индивидуальное предпринимательство,2022,,2022,2023,2,end_from_next_start,0
AKRN,Кантолинский Михаил Иосифович,professional,2,"ООО ""Атон""",2023,2024,2023,2024,2,,0
AKRN,Кантолинский Михаил Иосифович,professional,3,"ПАО ""Акрон""",2026,,2026,2024,0,after_collection_year_excluded,1
AKRN,Кантолинский Михаил Иосифович,research,0,Финансовый университет при Правительстве Российской Федерации,2010,2010,2010,2010,1,,
ALRS,Маринычев Павел Алексеевич,professional,0,"Органы экономики, энергетики и тарифного регулирования Республики Саха (Якутия)",2000,2005,2000,2005,6,,0
ALRS,Маринычев Павел Алексеевич,professional,1,"ОАО ""Сахатранснефтегаз""",2005,2010,2005,2010,6,,0
ALRS,Маринычев Павел Алексеевич,professional,2,Правительство Республики Саха (Якутия),2010,2016,2010,2016,7,,0
ALRS,Маринычев Павел Алексеевич,professional,3,"АО ""Алмазы Анабара""",2016,2023,2016,2023,8,,0
ALRS,Маринычев Павел Алексеевич,professional,4,"АК ""АЛРОСА"" (ПАО)",2023,,2023,2024,2,end_at_collection_year,1
ALRS,Силуанов Антон Германович,professional,0,Министерство финансов РСФСР/РФ,,,,,0,missing_dates_excluded,0
ALRS,Силуанов Антон Германович,professional,1,Министерство финансов Российской Федерации,2011,,2011,2015,5,end_from_next_start,0
ALRS,Силуанов Антон Германович,professional,2,"АК ""АЛРОСА"" (ПАО)",2015,,2015,2020,6,end_from_next_start,1
ALRS,Силуанов Антон Германович,professional,3,Министерство финансов Российской Федерации,2020,,2020,2024,5,end_at_collection_year,0
ALRS,Силуанов Антон Германович,research,0,С 2013: академическая роль в Финансовом университете при Правительстве РФ; профиль университета указывает должность декана и ученые степени.,,,,,0,missing_dates_excluded,
ALRS,Николаев Айсен Сергеевич,professional,0,Алмазэргиэнбанк и другие организации Республики Саха (Якутия),1994,2003,1994,2003,10,,0
ALRS,Николаев Айсен Сергеевич,professional,1,Министерство финансов Республики Саха (Якутия),2004,2007,2004,2007,4,,0
ALRS,Николаев Айсен Сергеевич,professional,2,Администрация президента и правительства Республики Саха (Якутия),2007,2011,2007,2011,5,,0
ALRS,Николаев Айсен Сергеевич,professional,3,Правительство Республики Саха (Якутия),2011,2012,2011,2012,2,,0
ALRS,Николаев Айсен Сергеевич,professional,4,Городской округ город Якутск,2012,2018,2012,2018,7,,0
ALRS,Николаев Айсен Сергеевич,professional,5,Республика Саха (Якутия),2018,,2018,2024,7,end_at_collection_year,0
ALRS,Николаев Айсен Сергеевич,professional,6,"АК ""АЛРОСА"" (ПАО)",2018,,2018,2024,7,end_at_collection_year,1
ALRS,Иванов Сергей Сергеевич,professional,0,"ФГУП ""Государственная инвестиционная корпорация""",2002,2003,2002,2003,2,,0
ALRS,Иванов Сергей Сергеевич,professional,1,Газпром / Газпромбанк,2003,2011,2003,2011,9,,0
ALRS,Иванов Сергей Сергеевич,professional,2,"Страховая компания ""Согаз""",2011,2016,2011,2016,6,,0
ALRS,Иванов Сергей Сергеевич,professional,3,Сбербанк,2016,2017,2016,2017,2,,0
ALRS,Иванов Сергей Сергеевич,professional,4,"АК ""АЛРОСА"" (ПАО)",2017,2023,2017,2023,7,,1
ALRS,Иванов Сергей Сергеевич,professional,5,"АК ""АЛРОСА"" (ПАО)",2024,,2024,2024,1,end_at_collection_year,1
ALRS,Моисеев Алексей Владимирович,professional,0,Министерство финансов Российской Федерации,2012,,2012,2018,7,end_from_next_start,0
ALRS,Моисеев Алексей Владимирович,professional,1,"АК ""АЛРОСА"" (ПАО)",2018,,2018,2024,7,end_at_collection_year,1
ALRS,Моисеев Алексей Владимирович,professional,2,АСВ; Банк России; ДОМ.РФ; Гознак и другие организации,,,,,0,missing_dates_excluded,0
ALRS,Дяченко Сергей Николаевич,professional,0,"ПАО ""ГМК ""Норильский никель""",2013,2015,2013,2015,3,,0
ALRS,Дяченко Сергей Николаевич,professional,1,"ПАО ""ГМК ""Норильский никель""",2015,,2015,2024,10,end_at_collection_year,0
ALRS,Дяченко Сергей Николаевич,professional,2,"АК ""АЛРОСА"" (ПАО)",2024,,2024,2024,1,end_at_collection_year,1
ALRS,Жондоров Валерий Алексеевич,professional,0,Институт космофизических исследований и аэрономии,1984,1992,1984,1992,9,,0
ALRS,Жондоров Валерий Алексеевич,professional,1,Инвестиционные и финансовые организации Республики Саха (Якутия),1992,2000,1992,2000,9,,0
ALRS,Жондоров Валерий Алексеевич,professional,2,Министерство финансов Республики Саха (Якутия),2000,2005,2000,2005,6,,0
ALRS,Жондоров Валерий Алексеевич,professional,3,"ОАО ""Инвестиционно-финансовая компания ""РФА-Инвест""",2006,2012,2006,2012,7,,0
ALRS,Жондоров Валерий Алексеевич,professional,4,Министерство финансов Республики Саха (Якутия),2012,,2012,2024,13,end_at_collection_year,0
ALRS,Жондоров Валерий Алексеевич,research,0,1984-1992: работа младшим научным сотрудником / старшим лаборантом в Институте космофизических исследований и аэрономии.,,,,,0,missing_dates_excluded,
ALRS,Донец Андрей Иванович,professional,0,"Sakha/Yakutia-linked industrial, property and corporate governance entities (не детализировано)",,,,,0,missing_dates_excluded,0
ALRS,Донец Андрей Иванович,professional,1,Администрация города Благовещенска,2014,2015,2014,2015,2,,0
ALRS,Донец Андрей Иванович,professional,2,Правительство Амурской области,2015,2018,2015,2018,4,,0
ALRS,Донец Андрей Иванович,professional,3,"АНО ""Агентство Дальнего Востока по привлечению инвестиций и поддержке экспорта""",2018,2021,2018,2021,4,,0
ALRS,Донец Андрей Иванович,professional,4,"АК ""АЛРОСА"" (ПАО)",2019,,2019,2021,3,end_from_next_start,1
ALRS,Донец Андрей Иванович,professional,5,"АО ""Росгеология""",2021,,2021,2024,4,end_at_collection_year,0
ALRS,Донец Андрей Иванович,professional,6,"АК ""АЛРОСА"" (ПАО)",2024,,2024,2024,1,end_at_collection_year,1
ALRS,Багынанов Павел Николаевич,professional,0,Казначейские и финансовые органы Республики Саха (Якутия),1999,2010,1999,2010,12,,0
ALRS,Багынанов Павел Николаевич,professional,1,Министерство финансов Республики Саха (Якутия),2010,2022,2010,2022,13,,0
ALRS,Багынанов Павел Николаевич,professional,2,"АО ""РИК Плюс""; АО ""Инвестиционно-финансовая компания ""РФА-Инвест""",2022,2023,2022,2023,2,,0
ALRS,Багынанов Павел Николаевич,professional,3,Министерство имущественных и земельных отношений Республики Саха (Якутия),2023,,2023,2024,2,end_at_collection_year,0
ALRS,Багынанов Павел Николаевич,professional,4,"АК ""АЛРОСА"" (ПАО)",2024,,2024,2024,1,end_at_collection_year,1
ALRS,Григорьева Евгения Васильевна,professional,0,"Регион Республики Саха (Якутия), государственная гражданская служба (не детализировано)",,,,,0,missing_dates_excluded,0
ALRS,Григорьева Евгения Васильевна,professional,1,Министерство имущественных и земельных отношений Республики Саха (Якутия),,,,,0,missing_dates_excluded,0
ALRS,Григорьева Евгения Васильевна,professional,2,Министерство имущественных и земельных отношений Республики Саха (Якутия),2011,2020,2011,2020,10,,0
ALRS,Григорьева Евгения Васильевна,professional,3,"АК ""АЛРОСА"" (ПАО)",2015,,2015,2018,4,end_from_next_start,1
ALRS,Григорьева Евгения Васильевна,professional,4,"АКБ ""Алмазэргиэнбанк"" АО",2018,,2018,2019,2,end_from_next_start,0
ALRS,Григорьева Евгения Васильевна,professional,5,"АО ""Комдрагметалл Республики Саха (Якутия)""",2019,2021,2019,2021,3,,0
ALRS,Григорьева Евгения Васильевна,professional,6,"ООО ""АЭБ Капитал""",2020,2021,2020,2021,2,,0
