field,value,count,has_law_education,has_economics_education
degree,Доктор физико-математических наук,2,0,0
degree,Доктор экономических наук,11,0,1
degree,Доктор экономических наук.,2,0,1
degree,Доктор юридических наук,1,1,0
degree,Доцент,2,0,0
degree,Кандидат географических наук,1,0,0
degree,Кандидат геолого-минералогических наук,1,0,0
degree,Кандидат исторических наук,1,0,0
degree,Кандидат медицинских наук,1,0,0
degree,Кандидат технических наук,13,0,0
degree,Кандидат физико-математических наук,5,0,0
degree,Кандидат филологических наук,1,0,0
degree,Кандидат химических наук,3,0,0
degree,Кандидат экономических наук,35,0,1
degree,Кандидат экономических наук / Ph.D. in Economics,1,0,1
degree,Кандидат экономических наук.,1,0,1
degree,Кандидат юридических наук,6,1,0
degree,Кандидат юридических наук.,1,1,0
degree,Магистр,6,0,0
degree,Магистр экономики,1,0,1
degree,Профессор,6,0,0
degree,академик Академии наук Республики Татарстан,1,0,0
degree,академик РАН,4,0,0
degree,академик Российской академии наук,1,0,0
degree,действительный член Российской академии образования,1,0,0
degree,доктор биологических наук,1,0,0
degree,доктор геолого-минералогических наук,1,0,0
degree,доктор исторических наук,1,0,0
degree,доктор медицинских наук,3,0,0
degree,доктор технических наук,8,0,0
degree,доктор экономических наук,22,0,1
degree,доктор экономических наук; профессор,1,0,1
degree,доктор юридических наук,1,1,0
degree,доцент,1,0,0
degree,кандидат биологических наук,1,0,0
degree,кандидат военных наук,1,0,0
degree,кандидат геолого-минералогических наук,2,0,0
degree,кандидат исторических наук,3,0,0
degree,кандидат медицинских наук,5,0,0
degree,кандидат политических наук,2,0,0
degree,кандидат социологических наук,1,0,0
degree,кандидат технических наук,23,0,0
degree,кандидат технических наук; доктор технических наук,1,0,0
degree,кандидат физико-математических наук,6,0,0
degree,кандидат экономических наук,47,0,1
degree,кандидат юридических наук,10,1,0
degree,магистр бизнеса,1,0,1
degree,магистр наук,1,0,0
degree,профессор,10,0,0
degree,член ACCA,1,0,1
degree,член ACCA (Association of Chartered Certified Accountants),1,0,1
degree,член-корреспондент РАН,2,0,0
degree_or_qualification,ACCA member,2,0,1
degree_or_qualification,BA,2,0,0
degree_or_qualification,Bachelor,1,0,0
degree_or_qualification,Bachelor of Science,1,0,0
degree_or_qualification,Executive MBA,1,0,1
degree_or_qualification,Independent Director certificate,1,0,0
degree_or_qualification,LLB,1,1,0
degree_or_qualification,LPC,1,0,0
degree_or_qualification,Lawyer,1,1,0
degree_or_qualification,MA,1,0,0
degree_or_qualification,MBA,4,0,1
degree_or_qualification,"MBA ""Топ-менеджер""",1,0,1
degree_or_qualification,MBA / мастер делового администрирования,1,0,1
degree_or_qualification,University education,7,0,0
degree_or_qualification,admitted attorney,1,0,0
degree_or_qualification,bachelor,1,0,0
degree_or_qualification,degree,3,0,0
degree_or_qualification,graduated,1,0,0
degree_or_qualification,member,1,0,0
degree_or_qualification,"Высшее образование по специальности ""Информационные системы в экономике""",1,0,1
degree_or_qualification,"Высшее образование по специальности ""Финансы и кредит""",1,0,1
degree_or_qualification,Высшее юридическое образование,1,1,0
degree_or_qualification,Инженер-экономист,1,0,1
degree_or_qualification,бакалавр,3,0,0
degree_or_qualification,бакалавр менеджмента,1,0,1
degree_or_qualification,бакалавр техники и технологии,1,0,0
degree_or_qualification,диплом с отличием,2,0,0
degree_or_qualification,инженер,1,0,0
degree_or_qualification,инженер-физик,1,0,0
degree_or_qualification,инженер-экономист,1,0,1
degree_or_qualification,магистр,1,0,0
degree_or_qualification,магистр техники и технологии,1,0,0
degree_or_qualification,магистр экономики,1,0,1
degree_or_qualification,повышение квалификации,2,0,0
degree_or_qualification,профессиональная переподготовка,3,0,0
degree_or_qualification,профессиональные квалификации внутреннего аудитора / аудитора-консультанта / главного аудитора,1,0,1
degree_or_qualification,экономист,1,0,1
degree_or_qualification,юрист,1,1,0
field,"08.00.05; тема автореферата: ""Региональная социально-экономическая политика в сфере жилищного строительства""",1,0,1
field,AVIRA program for top managers,1,0,0
field,Accountancy,1,0,1
field,Accounting,4,0,1
field,Accounting and Finance,1,0,1
field,Business Administration,6,0,1
field,Business Management,1,0,1
field,Business administration,7,0,1
field,Business and Management,1,0,1
field,Business law,2,1,1
field,Chartered Financial Analyst,1,0,1
field,Chemistry (Chemist-teacher),1,0,0
field,Corporate Executive MBA programme,1,0,1
field,Corporate governance/company secretarial practice,1,0,0
field,Cybernetic engineering,1,0,0
field,Economics,10,0,1
field,Economics and Enterprise Management,1,0,1
field,Economics and Finance,1,0,1
field,Economics and Management,2,0,1
field,Economics and Management in Metallurgy,1,0,1
field,Economics and law of Russia and Eastern Europe,1,1,1
field,Economics/Finance,1,0,1
field,Electrical Energy Industry Faculty,1,0,0
field,Electrical Engineering,1,0,0
field,Electroacoustics,1,0,0
field,English Language and Literature,1,0,0
field,European business administration / European economics and organization of production,1,0,1
field,Executive MBA,5,0,1
field,Executive MBA General Management,1,0,1
field,Faculty of International Law,2,1,0
field,Finance,2,0,1
field,Finance and Credit,2,0,1
field,Financial management,1,0,1
field,General management,1,0,1
field,General management and financial management,2,0,1
field,Global Health,1,0,0
field,Human resources,2,0,0
field,Humanities / Arts,1,0,0
field,International Economics,1,0,1
field,International Executive MBA,1,0,1
field,International economic relations / economist,1,0,1
field,International finance and banking,1,0,1
field,Jurisprudence,1,1,0
field,Law,5,1,0
field,MBA,5,0,1
field,MBA program,1,0,1
field,"MBA, профессиональная переподготовка",1,0,1
field,MBA-Synergy programme,1,0,1
field,Management,3,0,1
field,Management / Economics,1,0,1
field,Marketing Communications,1,0,1
field,Materials science,1,0,0
field,Mathematics,3,0,0
field,Mechanics and Mathematics,1,0,0
field,Metallurgy / technical sciences,1,0,0
field,Mining Engineering,1,0,0
field,Modern History and Modern Languages,1,0,0
field,Physics Faculty,1,0,0
field,Physics and law,1,1,0
field,Political Science and International Relations,1,0,0
field,Public administration,2,0,0
field,"Risk, Governance and Compliance",1,0,0
field,Stanford Executive Program,1,0,0
field,Strategic Management,1,0,1
field,Technology and technique of mineral exploration,1,0,0
field,Tracked and Wheeled Vehicles (Гусеничные и колёсные машины),1,0,0
field,World Economy,1,0,1
field,accounting,1,0,1
field,"accounting, finance and international business",1,0,1
field,business administration,5,0,1
field,business and finance,1,0,1
field,economics,1,0,1
field,executive education,2,0,0
field,finance and credit,1,0,1
field,finance and management,1,0,1
field,financial analysis,1,0,1
field,international journalism,1,0,0
field,international law,1,1,0
field,law,1,1,0
field,law / corporate governance,1,1,0
field,management,1,0,1
field,political science,1,0,0
field,software engineering course,1,0,0
field,strategic management,2,0,1
field,sustainable development and corporate responsibility,1,0,0
field,Автоматизация технологических процессов и производств,1,0,0
field,Автоматизированные системы обработки информации и управления,1,0,0
field,Автоматика и телемеханика,1,0,0
field,"Административное право, финансовое право, информационное право",1,1,1
field,Английский язык,1,0,0
field,Банковское дело,1,0,1
field,Бизнес информатика,1,0,1
field,Биогеография и география почв,1,0,0
field,"Биоинспирированная нейросетевая архитектура аналоговых компьютеров общего назначения в задачах Wi-Fi-радиопланирования (специальность ВАК 2.3.8, диссертационный совет КФУ)",1,0,1
field,Биологические науки / генетика,1,0,0
field,Биоорганическая химия / химические науки,1,0,0
field,"Вычислительные машины, системы и сети",1,0,0
field,Геология и минералогия,1,0,0
field,Геология и нефтегазовая тематика,1,0,0
field,Геология нефти и газа,1,0,0
field,Геоэкология,1,0,0
field,Горный инженер-геофизик,1,0,0
field,Государственное и муниципальное управление,2,0,0
field,Государственное управление экономическим развитием,2,0,1
field,Деловое администрирование,1,0,1
field,"Деньги, кредит, банки",1,0,0
field,Динамика и прочность машин,2,0,0
field,Евроменеджмент - Мастер делового администрирования,1,0,1
field,Зоология и ботаника,1,0,0
field,Имитационное моделирование формирования портфеля частных инвестиций (специальность ВАК 05.13.16),1,0,0
field,Инженер-конструктор РЭА,1,0,0
field,Искусствознание / гуманитарные науки,1,0,0
field,История,2,0,0
field,Кооперация в системе структурных и институциональных преобразований экономики АПК,1,0,1
field,Лизинг - новое экономическое направление развития малой и нетрадиционной энергетики,1,0,1
field,Мастер делового администрирования,2,0,1
field,"Математика, механико-математический факультет",1,0,0
field,Математика. Прикладная математика,1,0,0
field,"Математическое моделирование, численные методы и комплексы программ",1,0,0
field,"Медицина; специальность ВАК 03.00.25 (гистология, цитология, клеточная биология); тема диссертации — посттравматическая регенерация костной ткани при трансплантации культуры костно-мозговых стромальных клеток",1,0,0
field,Международная политология,1,0,0
field,Международная экономика; управление международным бизнесом,1,0,1
field,"Международное право / юридические науки Round 2: официальный био-профиль el5-energo.ru подтверждает независимо от Dissercat: ""In 2001, she defended her Ph.D. thesis at the Russian Academy of Public Administration under the President of the Russian Federation on the topic «International Legal Entity as a Subject of International Private Law»"" -- институт нормализован по alias-списку university_names.json (Russian Academy of Public Administration under the President of the Russian Federation -> Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации, историческое РАГС вошло в состав РАНХиГС в 2010 году).",1,1,0
field,Международные финансы и банковское дело,1,0,1
field,Международные экономические отношения,2,0,1
field,"Международные экономические отношения (факультет МЭО), коммерческое отделение",1,0,1
field,Международный анализ бизнеса,1,0,1
field,Менеджмент,3,0,1
field,Менеджмент в энергетической отрасли,1,0,1
field,"Металлургия черных, цветных и редких металлов (ВАК 05.16.02)",1,0,0
field,Метод стоячих рентгеновских волн в исследовании структуры приповерхностных слоев полупроводников,1,0,0
field,Методологические основы государственного регулирования развития авиатранспортной инфраструктуры России,1,0,0
field,Мировая экономика,2,0,1
field,Молекулярная генетика; специальность 03.00.26,1,0,0
field,Нефтегазовая тематика,1,0,0
field,Организация управления в строительстве,1,0,0
field,Патологическая анатомия,1,0,0
field,Подготовка и переподготовка резерва управленческих кадров,1,0,0
field,Подготовка руководителей организаций по обеспечению защиты государственной тайны,1,0,0
field,Правоведение,2,1,0
field,Правовое регулирование государственного финансирования деятельности политических партий: конституционно-правовой аспект (специальность 12.00.02),1,1,1
field,"Правовое регулирование кредитования малых предприятий в Российской Федерации в рамках программы Европейского банка реконструкции и развития (специальность 12.00.03: гражданское право, предпринимательское право, семейное право, международное частное право)",1,1,0
field,Президентская программа подготовки управленческих кадров для организаций народного хозяйства Российской Федерации,1,0,0
field,Прикладная математика и физика,1,0,0
field,Проектное управление развитием бизнеса,1,0,1
field,Производственные системы,2,0,0
field,Разработка и эксплуатация нефтяных и газовых месторождений,3,0,0
field,Самолетостроение,1,0,0
field,Системы автоматизированного проектирования,1,0,0
field,Стратегический менеджмент,1,0,1
field,Тепловые электрические станции,1,0,0
field,Теплозащита космического корабля «Буран»,1,0,0
field,Техническая эксплуатация авиационного оборудования,1,0,0
field,Технические науки,6,0,0
field,Управление международным бизнесом,1,0,1
field,Управление развитием компании,1,0,1
field,Факторы неопределенности мирового финансового рынка в условиях технологической революции,1,0,1
field,Физика,2,0,0
field,Физика и механика химических процессов,1,0,0
field,Физика металлов,1,0,0
field,Физическая химия,1,0,0
field,Физический факультет,1,0,0
field,Финансы,2,0,1
field,Финансы и кредит,9,0,1
field,Финансы предприятия,1,0,1
field,"Финансы, денежное обращение и кредит",2,0,1
field,Химия,1,0,0
field,Частное право,1,1,0
field,Экономика,28,0,1
field,Экономика / внешняя торговля,1,0,1
field,Экономика и планирование народного хозяйства,1,0,1
field,Экономика и управление в отраслях топливно-энергетического комплекса,1,0,1
field,Экономика и управление на предприятии (в строительстве),1,0,1
field,Экономика и управление на предприятиях строительства,1,0,1
field,Экономика и управление на предприятиях энергетики,1,0,1
field,"Экономика и управление народным хозяйством, 08.00.05",1,0,1
field,Экономика промышленности,1,0,1
field,Экономика; тема диссертации об институциональных детерминантах корпоративной собственности,1,0,1
field,Экономическая оценка инвестиционных проектов транзита нефти и нефтепродуктов: На прим. нефтепродуктопровода Кириши-Батарейная,1,0,1
field,Экономический факультет,3,0,1
field,Экономический факультет; статистика,1,0,1
field,Экономическое и социальное планирование,1,0,1
field,Электрические станции,2,0,0
field,Электроснабжение и электрификация в промышленности,1,0,0
field,Электротехнические комплексы и системы (ВАК 05.09.03),1,0,0
field,Электроэнергетические системы и сети,2,0,0
field,Юридические науки,1,1,0
field,Юридический факультет,1,1,0
field,Юриспруденция,9,1,0
field,автоматизация и комплексная механизация химико-технологических процессов,1,0,0
field,автоматизация технологических процессов и производств,1,0,0
field,"автоматика, телемеханика и связь на железнодорожном транспорте",1,0,0
field,автомобильные дороги и аэродромы,1,0,0
field,английский язык и литература,1,0,0
field,антикризисное управление,1,0,0
field,аспирантура,2,0,0
field,аспирантура факультета журналистики,1,0,0
field,бакалавр экономики (2001); магистр экономики (2003),1,0,1
field,банковское дело,1,0,1
field,банковское дело и финансы,1,0,1
field,банковское и страховое дело,1,0,1
field,биология,2,0,0
field,бурение нефтяных и газовых скважин,1,0,0
field,бухгалтерский учет и аудит,2,0,1
field,бухгалтерский учет и аудит; экономист,1,0,1
field,внешняя торговля,2,0,1
field,внутренние болезни / гастроэнтерология,2,0,0
field,внутренний аудит,1,0,1
field,внутризаводское электрооборудование,1,0,0
field,военная контрразведка,1,0,0
field,востоковедение / китайский язык,1,0,0
field,вычислительная математика и кибернетика,2,0,0
field,"вычислительные машины, комплексы, системы и сети",1,0,0
field,гастроэнтерология / хронический гепатит C,1,0,0
field,геология/геофизика,1,0,0
field,геолого-минералогические науки,1,0,0
field,геотехнология; теоретические основы проектирования горно-технических систем,1,0,0
field,геофизика / физика,1,0,0
field,глобальные проблемы и международные отношения,1,0,0
field,горное дело,1,0,0
field,горное дело / геотехнология,1,0,0
field,горный инженер; технология и комплексная механизация разработки россыпных месторождений,1,0,0
field,городское хозяйство,1,0,0
field,государственное и муниципальное управление,5,0,0
field,гражданское право; договор газоснабжения,1,1,0
field,двигатели внутреннего сгорания,1,0,0
field,деловая и политическая журналистика,1,0,0
field,деловое администрирование,1,0,1
field,деловое управление,1,0,0
field,директорская квалификация,2,0,0
field,журналистика,4,0,0
field,инженер-механик / судовые машины и механизмы,1,0,0
field,инженер-технолог,1,0,0
field,инженер-электрик,2,0,0
field,инженер-электромеханик,1,0,0
field,инженерная электрофизика,1,0,0
field,"информатика и вычислительная техника; вычислительные машины, комплексы, системы и сети",1,0,0
field,информационная безопасность / комплексное обеспечение информационной безопасности автоматизированных систем,1,0,0
field,информационные системы в экономике,2,0,1
field,история,3,0,0
field,"история, английский язык",1,0,0
field,капитальное строительство и реконструкция,1,0,0
field,кардиология,1,0,0
field,командная тактическая,1,0,0
field,"командная, тактическая",1,0,0
field,коммерция / внешняя торговля,1,0,1
field,конструирование и производство радиоэлектронных средств,1,0,0
field,конструирование и производство электронно-вычислительной аппаратуры; инженер-конструктор,1,0,0
field,корпоративное управление,1,0,1
field,летательные аппараты,1,0,0
field,лечебное дело,2,0,0
field,лидерский потенциал,1,0,0
field,математика,3,0,0
field,"математика, прикладная математика",1,0,0
field,математика/теория управления,1,0,0
field,математическая статистика,1,0,0
field,"математическое моделирование, численные методы и комплексы программ (05.13.18)",1,0,0
field,машины и аппараты химических производств,1,0,0
field,машины и аппараты химических производств и предприятий строительных материалов,2,0,0
field,медицина,1,0,0
field,медицинские науки,1,0,0
field,международная финансовая отчетность,1,0,1
field,международная экономика,1,0,1
field,международное право,1,1,0
field,международные экономические отношения,1,0,1
field,менеджер по персоналу,1,0,0
field,менеджмент,14,0,1
field,менеджмент в автоматизированных системах управления,1,0,1
field,менеджмент в международном топливно-энергетическом бизнесе,1,0,1
field,менеджмент в социальной сфере,1,0,1
field,менеджмент нефтегазовых предприятий,1,0,1
field,менеджмент организации / strategic management,1,0,1
field,менеджмент; маркетинговые коммуникации,1,0,1
field,менеджмент; менеджер-экономист,1,0,1
field,металлургия,1,0,0
field,механика,1,0,0
field,механика и математика,1,0,0
field,механико-математический факультет,1,0,0
field,механико-математический факультет; математика,1,0,0
field,мировая экономика,1,0,1
field,мировая экономика; экономист,1,0,1
field,моторный факультет; инженер-механик,1,0,0
field,мотострелковые войска,1,0,0
field,обработка металлов давлением,1,0,0
field,общий менеджмент,1,0,1
field,организация перевозок и управление на транспорте (воздушный транспорт),1,0,0
field,организация управления производством,1,0,0
field,подземная разработка месторождений полезных ископаемых,1,0,0
field,подземная разработка месторождений полезных ископаемых; горный инженер,2,0,0
field,политические науки,2,0,0
field,политология,1,0,0
field,право; юрист,1,1,0
field,правоведение,8,1,0
field,практическая психология,1,0,0
field,прикладная информатика в экономике / computer science,1,0,1
field,прикладная математика,6,0,0
field,прикладная математика; инженер-математик,1,0,0
field,прикладные математика и физика; инженер-физик,1,0,0
field,"производство строительных материалов, изделий и конструкций",1,0,0
field,промышленная электроника,2,0,0
field,промышленная электроэнергетика,1,0,0
field,промышленное и гражданское строительство,3,0,0
field,профессиональная переподготовка,1,0,0
field,психиатрия по официальной карточке; локальный отчет указывает степень без специализации,1,0,0
field,психология,2,0,0
field,радиоинженер,1,0,0
field,радиоэлектроника ПВО,1,0,0
field,разработка и эксплуатация нефтяных и газовых месторождений,2,0,0
field,разработка медицинских систем,1,0,0
field,разработка рудных месторождений,1,0,0
field,самолетостроение; инженер-механик,1,0,0
field,самолётостроение / авиационная техника,1,0,0
field,системы автоматизированного проектирования,1,0,0
field,социальная и экономическая география зарубежных стран,1,0,1
field,социальная и экономическая география зарубежных стран (специализация переводчик),1,0,1
field,социология,3,0,0
field,социология и экономическое развитие,1,0,1
field,стратегический и финансовый менеджмент,1,0,1
field,стратегический маркетинг,1,0,1
field,стратегический маркетинг и управление организацией,1,0,1
field,стратегический менеджмент и лидерство,1,0,1
field,стратегический менеджмент и управление организацией,2,0,1
field,стратегический менеджмент; HSE Alumni указывает Высшую школу бизнеса,1,0,1
field,стратегическое и корпоративное управление,1,0,1
field,судовождение на морских путях / судоводительский факультет,1,0,0
field,"тема диссертации: ""Государственное администрирование поступления налоговых доходов в бюджетную систему РФ: региональный аспект""",1,0,1
field,"тема диссертации: ""Оценка состояния окружающей среды и разработка экологического контроля при эксплуатации подземных хранилищ газа, на примере Северо-Ставропольского Подземного хранения газа""",1,0,0
field,"тема диссертации: ""Планирование рекреационной деятельности в регионе""",1,0,0
field,"тема диссертации: ""Российская Федерация в международной системе противодействия легализации (отмыванию) преступных доходов и финансированию терроризма""",1,0,1
field,"тема диссертации: ""Система поддержки принятия решений при эксплуатации магистральных газопроводов"" (05.13.06 - автоматизация и управление технологическими процессами и производствами)",1,0,0
field,"тема диссертации: ""Совершенствование налогового механизма минерально-сырьевого комплекса (на примере Ленинградской области)""",1,0,1
field,"тема диссертации: ""Управление модернизацией комплексного оборудования промышленной сетевой структуры (на примере ОАО «Газпром»)""",1,0,0
field,технические науки,11,0,0
field,технические науки / металлургия,1,0,0
field,"технические науки, специальность 05.22.01 (транспортные и транспортно-технологические системы страны, ее регионов и городов, организация производства на транспорте)",1,0,0
field,технология и комплексная механизация разработки нефтяных и газовых месторождений,1,0,0
field,технология и комплексная разработка нефтяных и газовых месторождений,1,0,0
field,технология неорганических веществ,1,0,0
field,технология неорганических веществ и химических удобрений,1,0,0
field,управление коммуникациями и информацией,1,0,0
field,управление персоналом,1,0,0
field,управление проектами,1,0,0
field,управление промышленным производством,1,0,0
field,управленческий учет и оценка эффективности бизнеса,1,0,1
field,учет и аудит,1,0,1
field,факультет вычислительной математики и кибернетики (ВМК),1,0,0
field,фармация,2,0,0
field,физика,3,0,0
field,физика; инженер-физик,1,0,0
field,физико-математические науки,4,0,0
field,физические процессы горного или нефтегазового производства,1,0,0
field,финансовая квалификация,1,0,1
field,финансовый менеджмент,4,0,1
field,финансы,3,0,1
field,финансы и кредит,12,0,1
field,финансы и кредит / экономика,1,0,1
field,финансы и кредит; экономист,3,0,1
field,финансы и учет,1,0,1
field,"финансы, денежное обращение и кредит",2,0,1
field,французский и немецкий языки,1,0,0
field,химическая технология,1,0,0
field,химическая технология неорганических веществ,2,0,0
field,химическая технология природных энергоносителей и углеродных материалов,1,0,0
field,химические науки,1,0,0
field,химия,1,0,0
field,химия и технология высокомолекулярных соединений,1,0,0
field,ценные бумаги / securities,1,0,1
field,цифровая трансформация,1,0,0
field,экономика,36,0,1
field,экономика / экономист-международник,1,0,1
field,экономика и менеджмент,1,0,1
field,экономика и организация машиностроительной промышленности,1,0,1
field,экономика и организация нефтяной и газовой промышленности,1,0,1
field,экономика и управление аграрным производством,1,0,1
field,экономика и управление в машиностроении,1,0,1
field,экономика и управление в металлургии,2,0,1
field,экономика и управление в отраслях топливно-энергетического комплекса,1,0,1
field,экономика и управление на предприятии,4,0,1
field,экономика и управление на предприятии (в строительстве),2,0,1
field,экономика и управление на предприятии (машиностроение),1,0,1
field,экономика и управление на предприятии (по отраслям),1,0,1
field,экономика и управление на предприятии (строительство),1,0,1
field,экономика и управление на предприятии легкой промышленности,1,0,1
field,экономика и управление на предприятиях нефтяной и газовой промышленности,1,0,1
field,"экономика, корпоративные финансы",1,0,1
field,"экономика, организация управления и планирования народного хозяйства",1,0,1
field,экономист,2,0,1
field,экономист-аналитик математического и компьютерного обеспечения управления,1,0,1
field,экономическая кибернетика,1,0,1
field,экономические науки,6,0,1
field,экономический факультет,1,0,1
field,электроника и автоматика физических установок,1,0,0
field,электроснабжение,2,0,0
field,электроснабжение (промышленность),1,0,0
field,электроснабжение и электрификация,1,0,0
field,"электротехника, электромеханика и электротехнологии",1,0,0
field,электротехнический факультет,1,0,0
field,электроэнергетика и электротехника,2,0,0
field,электроэнергетические системы и сети,2,0,0
field,электроэнергетические системы и сети; экономика и управление на предприятии,1,0,1
field,электроэнергетические системы и сети; экономика и управление на предприятии электроэнергетики (две специальности одной программы),1,0,1
field,электроэнергетический факультет,1,0,0
field,энергетические системы и сети,1,0,0
field,энергомашиностроение,2,0,0
field,эффективный руководитель по управлению персоналом,1,0,0
field,юридические науки,3,1,0
field,юридический факультет,1,1,0
field,юриспруденция,36,1,0
field_or_program,Executive MBA,1,0,1
field_or_program,MBA,2,0,1
field_or_program,Бизнес-образование по программам СИБУРа,1,0,1
field_or_program,Международные экономические отношения,1,0,1
field_or_program,Международный нефтегазовый бизнес,1,0,1
field_or_program,Производство и проектирование летательных аппаратов,1,0,0
field_or_program,Техника и технологии,1,0,0
field_or_program,Физико-энергетические установки,1,0,0
field_or_program,Финансовый менеджмент государственного и муниципального управления,1,0,1
field_or_program,Финансы и кредит,2,0,1
field_or_program,Химический факультет,1,0,0
field_or_program,Юриспруденция,1,1,0
program,Advanced Management Program (AMP),1,0,0
program,BS / undergraduate degree,1,0,0
program,Bachelor of Arts,2,0,0
program,Bachelor of Business Administration / высшее образование,1,0,1
program,Bachelor's degree,2,0,0
program,Bachelor's degree of Business Administration (Honours),1,0,1
program,CFA,1,0,1
program,Executive MBA,3,0,1
program,Executive education,1,0,0
program,"Executive-коучинг для развития руководителей, топ-команд и организаций",1,0,0
program,Financial management,1,0,1
program,Graduate degree,1,0,0
program,Graduate studies diploma,1,0,0
program,Higher education,1,0,0
program,Higher education / master's degree,1,0,0
program,IoD Diploma,1,0,0
program,MA,1,0,0
program,MBA,20,0,1
program,MBA / Business Administration,1,0,1
program,MBA по финансам,1,0,1
program,MBL / Master of Business Leadership,1,0,1
program,MSc,1,0,0
program,Management,1,0,1
program,Master of Laws,1,1,0
program,Master of Public Administration,1,0,0
program,Master's degree,2,0,0
program,Political Science,1,0,0
program,Post-graduate Diploma,1,0,0
program,Professional qualification,1,0,0
program,SHRM Certification,1,0,0
program,Strategic Management and Leadership,1,0,1
program,Undergraduate degree,1,0,0
program,business management diploma / higher education,1,0,1
program,executive education,1,0,0
program,finance and management program,1,0,1
program,graduate degree,3,0,0
program,higher education,9,0,0
program,undergraduate degree,4,0,0
program,Автоматика и электроника,1,0,0
program,Академия крупных проектов,1,0,0
program,Анестезиология-реаниматология,1,0,0
program,Аспирантура,7,0,0
program,Бакалавриат,2,0,0
program,Бухгалтерский учет и аудит,1,0,1
program,Высшее образование,19,0,0
program,Высшее образование / master's qualification,1,0,0
program,Высшее экономическое образование,1,0,1
program,Высшее/профессиональное образование,1,0,0
program,Высшие курсы,1,0,0
program,Горные машины и оборудование (квалификация: горный инженер),1,0,0
program,Горный инженер,1,0,0
program,Государственное и муниципальное управление,3,0,0
program,Государственное и муниципальное управление (профессиональная переподготовка),1,0,0
program,Дополнительная профессиональная программа,1,0,0
program,Инженер-конструктор авиационных двигателей (второе высшее / дополнительное образование),1,0,0
program,Исторический факультет (специализация — молодежные политические движения),1,0,0
program,История; советское право (доп. специальность),1,1,0
program,Лечебное дело,1,0,0
program,Лечебное дело (окончил в 1995 году); адъюнктура по кардиологии,1,0,0
program,Лечебное дело; клиническая ординатура по терапии подтверждена внешним источником,1,0,0
program,Лечебный факультет; гастроэнтерология; окончил в 1987 году с отличием,1,0,0
program,Магистратура,2,0,0
program,Менеджер нефтегазового бизнеса (квалификация),1,0,1
program,Менеджмент организации,1,0,1
program,Механико-математический факультет,1,0,0
program,Механико-машиностроительный факультет,1,0,0
program,Мировая экономика,2,0,1
program,Мировая экономика (квалификация: экономист-международник),1,0,1
program,Образовательная программа защиты прав человека,1,0,0
program,Организация предпринимательской деятельности,1,0,0
program,Органическая и элементоорганическая химия; аспирантура,1,0,0
program,Планирование промышленности,1,0,0
program,Повышение квалификации,4,0,0
program,Привлечение капитала (Raising Capital),1,0,0
program,Прикладная математика и физика,1,0,0
program,Профессиональная переподготовка,1,0,0
program,Социология,1,0,0
